code,coding_system,event_abbreviation,tags
10000141,NA,GESTDIAB,
10012625,NA,GESTDIAB,
L1808,READ,GESTDIAB,
L1804,READ,GESTDIAB,
L1808,READ,GESTDIAB,
L1804,READ,GESTDIAB,
11687002,SNOMED,GESTDIAB,
359964007,SNOMED,GESTDIAB,
38206000,SNOMED,GESTDIAB,
75022004,SNOMED,GESTDIAB,
39763004,SNOMED,GESTDIAB,
199228009,SNOMED,GESTDIAB,
10753491000119101,SNOMED,GESTDIAB,
11687002,SNOMED,GESTDIAB,
199232003,SNOMED,GESTDIAB,
237629002,SNOMED,GESTDIAB,
359964007,SNOMED,GESTDIAB,
393568003,SNOMED,GESTDIAB,
38206000,SNOMED,GESTDIAB,
75022004,SNOMED,GESTDIAB,
39763004,SNOMED,GESTDIAB,
199228009,SNOMED,GESTDIAB,
10753491000119101,SNOMED,GESTDIAB,
PREECLAMP_narrow,Free_text,PREECLAMP,
O15,ICD10,PREECLAMP,
O15.9,ICD10,PREECLAMP,
O15.0,ICD10,PREECLAMP,
O14.9,ICD10,PREECLAMP,
O14.1,ICD10,PREECLAMP,
O14,ICD10,PREECLAMP,
O14.0,ICD10,PREECLAMP,
O15,ICD10,PREECLAMP,
O15.9,ICD10,PREECLAMP,
O15.0,ICD10,PREECLAMP,
O15.03,ICD10,PREECLAMP,
O15.02,ICD10,PREECLAMP,
O15.2,ICD10,PREECLAMP,
O15.1,ICD10,PREECLAMP,
O15.00,ICD10,PREECLAMP,
O14.90,ICD10,PREECLAMP,
O14,ICD10,PREECLAMP,
O14.9,ICD10,PREECLAMP,
O14.1,ICD10,PREECLAMP,
O13,ICD10,PREECLAMP,
O14.2,ICD10,PREECLAMP,
O14.0,ICD10,PREECLAMP,
O14.24,ICD10,PREECLAMP,
O14.20,ICD10,PREECLAMP,
O14.12,ICD10,PREECLAMP,
O14.10,ICD10,PREECLAMP,
O14.02,ICD10,PREECLAMP,
642.62,ICD9,PREECLAMP,
642.6,ICD9,PREECLAMP,
642.60,ICD9,PREECLAMP,
642.63,ICD9,PREECLAMP,
642.5,ICD9,PREECLAMP,
642.3,ICD9,PREECLAMP,
642.4,ICD9,PREECLAMP,
642.40,ICD9,PREECLAMP,
642.50,ICD9,PREECLAMP,
642.62,ICD9,PREECLAMP,
642.6,ICD9,PREECLAMP,
642.60,ICD9,PREECLAMP,
642.63,ICD9,PREECLAMP,
642.4,ICD9,PREECLAMP,
642.5,ICD9,PREECLAMP,
642.3,ICD9,PREECLAMP,
642.40,ICD9,PREECLAMP,
642.50,ICD9,PREECLAMP,
W81,ICPC,PREECLAMP,
W81,ICPC2P,PREECLAMP,
W81004,ICPC2P,PREECLAMP,
W81005,ICPC2P,PREECLAMP,
10014135,NA,PREECLAMP,
10014130,NA,PREECLAMP,
10014131,NA,PREECLAMP,
10014129,NA,PREECLAMP,
10014132,NA,PREECLAMP,
10036485,NA,PREECLAMP,
10036492,NA,PREECLAMP,
10036493,NA,PREECLAMP,
10074050,NA,PREECLAMP,
10040444,NA,PREECLAMP,
10035033,NA,PREECLAMP,
10036557,NA,PREECLAMP,
10036563,NA,PREECLAMP,
10070538,NA,PREECLAMP,
10044382,NA,PREECLAMP,
10049058,NA,PREECLAMP,
10027620,NA,PREECLAMP,
10027623,NA,PREECLAMP,
10040447,NA,PREECLAMP,
10044130,NA,PREECLAMP,
10044133,NA,PREECLAMP,
L126.,READ,PREECLAMP,
L1260,READ,PREECLAMP,
L126z,READ,PREECLAMP,
L1263,READ,PREECLAMP,
X40By,READ,PREECLAMP,
Xa40P,READ,PREECLAMP,
L125.,READ,PREECLAMP,
L1250,READ,PREECLAMP,
L125z,READ,PREECLAMP,
L1230,READ,PREECLAMP,
L123z,READ,PREECLAMP,
XE0vr,READ,PREECLAMP,
XE0xy,READ,PREECLAMP,
XE2sh,READ,PREECLAMP,
X40Bx,READ,PREECLAMP,
X40C3,READ,PREECLAMP,
L1240,READ,PREECLAMP,
L124z,READ,PREECLAMP,
XaBE0,READ,PREECLAMP,
XE0vs,READ,PREECLAMP,
X40C0,READ,PREECLAMP,
L1254,READ,PREECLAMP,
X40Bz,READ,PREECLAMP,
L126z,READ,PREECLAMP,
L126.,READ,PREECLAMP,
L1260,READ,PREECLAMP,
L1263,READ,PREECLAMP,
L12B.,READ,PREECLAMP,
L125.,READ,PREECLAMP,
L1250,READ,PREECLAMP,
L125z,READ,PREECLAMP,
L123z,READ,PREECLAMP,
L1230,READ,PREECLAMP,
L1236,READ,PREECLAMP,
L12A.,READ,PREECLAMP,
L124z,READ,PREECLAMP,
L1240,READ,PREECLAMP,
L129.,READ,PREECLAMP,
L1254,READ,PREECLAMP,
L124.,READ,PREECLAMP,
15938005,SNOMED,PREECLAMP,
198989003,SNOMED,PREECLAMP,
198996001,SNOMED,PREECLAMP,
198992004,SNOMED,PREECLAMP,
156109003,SNOMED,PREECLAMP,
198979002,SNOMED,PREECLAMP,
288201007,SNOMED,PREECLAMP,
398254007,SNOMED,PREECLAMP,
6758009,SNOMED,PREECLAMP,
198981000,SNOMED,PREECLAMP,
198982007,SNOMED,PREECLAMP,
198987001,SNOMED,PREECLAMP,
46764007,SNOMED,PREECLAMP,
156112000,SNOMED,PREECLAMP,
267307002,SNOMED,PREECLAMP,
308551004,SNOMED,PREECLAMP,
48194001,SNOMED,PREECLAMP,
198964009,SNOMED,PREECLAMP,
198971004,SNOMED,PREECLAMP,
237279007,SNOMED,PREECLAMP,
30354006,SNOMED,PREECLAMP,
95605009,SNOMED,PREECLAMP,
198973001,SNOMED,PREECLAMP,
198980004,SNOMED,PREECLAMP,
267200002,SNOMED,PREECLAMP,
41114007,SNOMED,PREECLAMP,
237281009,SNOMED,PREECLAMP,
198986005,SNOMED,PREECLAMP,
15394000,SNOMED,PREECLAMP,
237280005,SNOMED,PREECLAMP,
156111007,SNOMED,PREECLAMP,
15938005,SNOMED,PREECLAMP,
198988006,SNOMED,PREECLAMP,
198989003,SNOMED,PREECLAMP,
198996001,SNOMED,PREECLAMP,
198992004,SNOMED,PREECLAMP,
198994003,SNOMED,PREECLAMP,
156106005,SNOMED,PREECLAMP,
156109003,SNOMED,PREECLAMP,
198979002,SNOMED,PREECLAMP,
199011002,SNOMED,PREECLAMP,
267306006,SNOMED,PREECLAMP,
288201007,SNOMED,PREECLAMP,
398254007,SNOMED,PREECLAMP,
46764007,SNOMED,PREECLAMP,
6758009,SNOMED,PREECLAMP,
156110008,SNOMED,PREECLAMP,
198981000,SNOMED,PREECLAMP,
198982007,SNOMED,PREECLAMP,
198987001,SNOMED,PREECLAMP,
156112000,SNOMED,PREECLAMP,
198969004,SNOMED,PREECLAMP,
267307002,SNOMED,PREECLAMP,
30354006,SNOMED,PREECLAMP,
308551004,SNOMED,PREECLAMP,
48194001,SNOMED,PREECLAMP,
156107001,SNOMED,PREECLAMP,
198963003,SNOMED,PREECLAMP,
198964009,SNOMED,PREECLAMP,
198970003,SNOMED,PREECLAMP,
198971004,SNOMED,PREECLAMP,
237279007,SNOMED,PREECLAMP,
199010001,SNOMED,PREECLAMP,
95605009,SNOMED,PREECLAMP,
156108006,SNOMED,PREECLAMP,
198972006,SNOMED,PREECLAMP,
198973001,SNOMED,PREECLAMP,
198978005,SNOMED,PREECLAMP,
198980004,SNOMED,PREECLAMP,
267200002,SNOMED,PREECLAMP,
41114007,SNOMED,PREECLAMP,
199009006,SNOMED,PREECLAMP,
237281009,SNOMED,PREECLAMP,
198986005,SNOMED,PREECLAMP,
15394000,SNOMED,PREECLAMP,
237280005,SNOMED,PREECLAMP,
O46.0,ICD10,PREG_BLEEDING,
O46.9,ICD10,PREG_BLEEDING,
P50,ICD10,PREG_BLEEDING,
P50.9,ICD10,PREG_BLEEDING,
O20,ICD10,PREG_BLEEDING,
O20.9,ICD10,PREG_BLEEDING,
P50.4,ICD10,PREG_BLEEDING,
O46.8,ICD10,PREG_BLEEDING,
O44.1,ICD10,PREG_BLEEDING,
O45,ICD10,PREG_BLEEDING,
O45.9,ICD10,PREG_BLEEDING,
O20.0,ICD10,PREG_BLEEDING,
O45.9,ICD10,PREG_BLEEDING,
O46.0,ICD10,PREG_BLEEDING,
O46.00,ICD10,PREG_BLEEDING,
O46.9,ICD10,PREG_BLEEDING,
O46.90,ICD10,PREG_BLEEDING,
P52.0,ICD10,PREG_BLEEDING,
O20,ICD10,PREG_BLEEDING,
O20.9,ICD10,PREG_BLEEDING,
O46.8,ICD10,PREG_BLEEDING,
O46.8X,ICD10,PREG_BLEEDING,
O46.8X9,ICD10,PREG_BLEEDING,
O45,ICD10,PREG_BLEEDING,
O45.90,ICD10,PREG_BLEEDING,
O20.0,ICD10,PREG_BLEEDING,
O72.1,ICD10,PREG_BLEEDING,
641.3,ICD9,PREG_BLEEDING,
641.33,ICD9,PREG_BLEEDING,
641.31,ICD9,PREG_BLEEDING,
641.30,ICD9,PREG_BLEEDING,
641,ICD9,PREG_BLEEDING,
772.0,ICD9,PREG_BLEEDING,
656.0,ICD9,PREG_BLEEDING,
656.03,ICD9,PREG_BLEEDING,
656.00,ICD9,PREG_BLEEDING,
641.1,ICD9,PREG_BLEEDING,
641.10,ICD9,PREG_BLEEDING,
640,ICD9,PREG_BLEEDING,
641.8,ICD9,PREG_BLEEDING,
641.83,ICD9,PREG_BLEEDING,
641.81,ICD9,PREG_BLEEDING,
762.1,ICD9,PREG_BLEEDING,
640.8,ICD9,PREG_BLEEDING,
640.83,ICD9,PREG_BLEEDING,
640.81,ICD9,PREG_BLEEDING,
640.80,ICD9,PREG_BLEEDING,
641.2,ICD9,PREG_BLEEDING,
641.20,ICD9,PREG_BLEEDING,
640.0,ICD9,PREG_BLEEDING,
640.03,ICD9,PREG_BLEEDING,
641.9,ICD9,PREG_BLEEDING,
641.93,ICD9,PREG_BLEEDING,
640.9,ICD9,PREG_BLEEDING,
640.93,ICD9,PREG_BLEEDING,
640.90,ICD9,PREG_BLEEDING,
641.2,ICD9,PREG_BLEEDING,
762.1,ICD9,PREG_BLEEDING,
641.33,ICD9,PREG_BLEEDING,
641.30,ICD9,PREG_BLEEDING,
641.31,ICD9,PREG_BLEEDING,
641.9,ICD9,PREG_BLEEDING,
641.3,ICD9,PREG_BLEEDING,
641.8,ICD9,PREG_BLEEDING,
666.1,ICD9,PREG_BLEEDING,
772.11,ICD9,PREG_BLEEDING,
772.0,ICD9,PREG_BLEEDING,
656.00,ICD9,PREG_BLEEDING,
641.10,ICD9,PREG_BLEEDING,
641.1,ICD9,PREG_BLEEDING,
641.83,ICD9,PREG_BLEEDING,
641.81,ICD9,PREG_BLEEDING,
640.83,ICD9,PREG_BLEEDING,
640.81,ICD9,PREG_BLEEDING,
640.80,ICD9,PREG_BLEEDING,
641.20,ICD9,PREG_BLEEDING,
640.03,ICD9,PREG_BLEEDING,
641.93,ICD9,PREG_BLEEDING,
640.93,ICD9,PREG_BLEEDING,
640.90,ICD9,PREG_BLEEDING,
W03,ICPC2P,PREG_BLEEDING,
W82,ICPC2P,PREG_BLEEDING,
W82003,ICPC2P,PREG_BLEEDING,
W03,ICPC2P,PREG_BLEEDING,
W03002,ICPC2P,PREG_BLEEDING,
W03001,ICPC2P,PREG_BLEEDING,
W03004,ICPC2P,PREG_BLEEDING,
W82006,ICPC2P,PREG_BLEEDING,
2537192015,SNOMED,PREG_BLEEDING,
89833018,SNOMED,PREG_BLEEDING,
305617011,SNOMED,PREG_BLEEDING,
305618018,SNOMED,PREG_BLEEDING,
305619014,SNOMED,PREG_BLEEDING,
3699841000006113,SNOMED,PREG_BLEEDING,
305630012,SNOMED,PREG_BLEEDING,
305696015,SNOMED,PREG_BLEEDING,
305697012,SNOMED,PREG_BLEEDING,
305702015,SNOMED,PREG_BLEEDING,
305703013,SNOMED,PREG_BLEEDING,
305706017,SNOMED,PREG_BLEEDING,
305707014,SNOMED,PREG_BLEEDING,
305710019,SNOMED,PREG_BLEEDING,
305711015,SNOMED,PREG_BLEEDING,
305716013,SNOMED,PREG_BLEEDING,
305717016,SNOMED,PREG_BLEEDING,
305718014,SNOMED,PREG_BLEEDING,
305719018,SNOMED,PREG_BLEEDING,
305722016,SNOMED,PREG_BLEEDING,
305726018,SNOMED,PREG_BLEEDING,
305730015,SNOMED,PREG_BLEEDING,
305731016,SNOMED,PREG_BLEEDING,
305734012,SNOMED,PREG_BLEEDING,
305735013,SNOMED,PREG_BLEEDING,
305738010,SNOMED,PREG_BLEEDING,
305742013,SNOMED,PREG_BLEEDING,
305743015,SNOMED,PREG_BLEEDING,
305746011,SNOMED,PREG_BLEEDING,
305747019,SNOMED,PREG_BLEEDING,
308128010,SNOMED,PREG_BLEEDING,
355605016,SNOMED,PREG_BLEEDING,
355606015,SNOMED,PREG_BLEEDING,
355609010,SNOMED,PREG_BLEEDING,
398341018,SNOMED,PREG_BLEEDING,
485971018,SNOMED,PREG_BLEEDING,
485721000006116,SNOMED,PREG_BLEEDING,
485801000006118,SNOMED,PREG_BLEEDING,
485941000006114,SNOMED,PREG_BLEEDING,
485971000006118,SNOMED,PREG_BLEEDING,
670011000006110,SNOMED,PREG_BLEEDING,
671711000006116,SNOMED,PREG_BLEEDING,
3061151000006114,SNOMED,PREG_BLEEDING,
220801000000113,SNOMED,PREG_BLEEDING,
483053014,SNOMED,PREG_BLEEDING,
7846531000006115,SNOMED,PREG_BLEEDING,
9906671000006113,SNOMED,PREG_BLEEDING,
9906691000006114,SNOMED,PREG_BLEEDING,
305626014,SNOMED,PREG_BLEEDING,
305627017,SNOMED,PREG_BLEEDING,
305631011,SNOMED,PREG_BLEEDING,
305634015,SNOMED,PREG_BLEEDING,
305635019,SNOMED,PREG_BLEEDING,
305638017,SNOMED,PREG_BLEEDING,
305639013,SNOMED,PREG_BLEEDING,
307760012,SNOMED,PREG_BLEEDING,
307764015,SNOMED,PREG_BLEEDING,
307765019,SNOMED,PREG_BLEEDING,
307779010,SNOMED,PREG_BLEEDING,
308098016,SNOMED,PREG_BLEEDING,
398335013,SNOMED,PREG_BLEEDING,
451457015,SNOMED,PREG_BLEEDING,
483054015,SNOMED,PREG_BLEEDING,
612321000006113,SNOMED,PREG_BLEEDING,
814501000006111,SNOMED,PREG_BLEEDING,
814511000006114,SNOMED,PREG_BLEEDING,
814521000006118,SNOMED,PREG_BLEEDING,
4126001000006118,SNOMED,PREG_BLEEDING,
85768019,SNOMED,PREG_BLEEDING,
316502016,SNOMED,PREG_BLEEDING,
316505019,SNOMED,PREG_BLEEDING,
316508017,SNOMED,PREG_BLEEDING,
316509013,SNOMED,PREG_BLEEDING,
316924014,SNOMED,PREG_BLEEDING,
495700011,SNOMED,PREG_BLEEDING,
505912012,SNOMED,PREG_BLEEDING,
1233354016,SNOMED,PREG_BLEEDING,
306641018,SNOMED,PREG_BLEEDING,
306644014,SNOMED,PREG_BLEEDING,
306645010,SNOMED,PREG_BLEEDING,
306648012,SNOMED,PREG_BLEEDING,
316558012,SNOMED,PREG_BLEEDING,
316573013,SNOMED,PREG_BLEEDING,
316574019,SNOMED,PREG_BLEEDING,
316933011,SNOMED,PREG_BLEEDING,
501758012,SNOMED,PREG_BLEEDING,
501763011,SNOMED,PREG_BLEEDING,
386941000006112,SNOMED,PREG_BLEEDING,
669241000006119,SNOMED,PREG_BLEEDING,
669491000006110,SNOMED,PREG_BLEEDING,
894321000006112,SNOMED,PREG_BLEEDING,
894331000006110,SNOMED,PREG_BLEEDING,
3655311000006110,SNOMED,PREG_BLEEDING,
315911016,SNOMED,PREG_BLEEDING,
3093331000006119,SNOMED,PREG_BLEEDING,
305679016,SNOMED,PREG_BLEEDING,
305680018,SNOMED,PREG_BLEEDING,
305681019,SNOMED,PREG_BLEEDING,
305683016,SNOMED,PREG_BLEEDING,
402182015,SNOMED,PREG_BLEEDING,
402183013,SNOMED,PREG_BLEEDING,
2533807017,SNOMED,PREG_BLEEDING,
670801000006119,SNOMED,PREG_BLEEDING,
305682014,SNOMED,PREG_BLEEDING,
308127017,SNOMED,PREG_BLEEDING,
13698821000006111,SNOMED,PREG_BLEEDING,
14218771000006119,SNOMED,PREG_BLEEDING,
200522000,SNOMED,PREG_BLEEDING,
35898002,SNOMED,PREG_BLEEDING,
54048003,SNOMED,PREG_BLEEDING,
22689002,SNOMED,PREG_BLEEDING,
198882006,SNOMED,PREG_BLEEDING,
198885008,SNOMED,PREG_BLEEDING,
156104008,SNOMED,PREG_BLEEDING,
198936004,SNOMED,PREG_BLEEDING,
106004004,SNOMED,PREG_BLEEDING,
415105001,SNOMED,PREG_BLEEDING,
198909001,SNOMED,PREG_BLEEDING,
198913008,SNOMED,PREG_BLEEDING,
888003,SNOMED,PREG_BLEEDING,
206073008,SNOMED,PREG_BLEEDING,
70165003,SNOMED,PREG_BLEEDING,
81448000,SNOMED,PREG_BLEEDING,
30850008,SNOMED,PREG_BLEEDING,
360561001,SNOMED,PREG_BLEEDING,
237273008,SNOMED,PREG_BLEEDING,
25825004,SNOMED,PREG_BLEEDING,
198891005,SNOMED,PREG_BLEEDING,
198893008,SNOMED,PREG_BLEEDING,
198892003,SNOMED,PREG_BLEEDING,
19211001,SNOMED,PREG_BLEEDING,
267199000,SNOMED,PREG_BLEEDING,
206390008,SNOMED,PREG_BLEEDING,
24141009,SNOMED,PREG_BLEEDING,
206391007,SNOMED,PREG_BLEEDING,
206394004,SNOMED,PREG_BLEEDING,
199576009,SNOMED,PREG_BLEEDING,
199579002,SNOMED,PREG_BLEEDING,
71028008,SNOMED,PREG_BLEEDING,
111433003,SNOMED,PREG_BLEEDING,
19882008,SNOMED,PREG_BLEEDING,
2814002,SNOMED,PREG_BLEEDING,
75836008,SNOMED,PREG_BLEEDING,
34842007,SNOMED,PREG_BLEEDING,
405736009,SNOMED,PREG_BLEEDING,
198916000,SNOMED,PREG_BLEEDING,
198919007,SNOMED,PREG_BLEEDING,
267197003,SNOMED,PREG_BLEEDING,
198940008,SNOMED,PREG_BLEEDING,
198937008,SNOMED,PREG_BLEEDING,
198931009,SNOMED,PREG_BLEEDING,
198932002,SNOMED,PREG_BLEEDING,
198935000,SNOMED,PREG_BLEEDING,
111437002,SNOMED,PREG_BLEEDING,
111435005,SNOMED,PREG_BLEEDING,
198903000,SNOMED,PREG_BLEEDING,
198904006,SNOMED,PREG_BLEEDING,
198907004,SNOMED,PREG_BLEEDING,
430881000,SNOMED,PREG_BLEEDING,
427139004,SNOMED,PREG_BLEEDING,
16320551000119109,SNOMED,PREG_BLEEDING,
723665008,SNOMED,PREG_BLEEDING,
200522000,SNOMED,PREG_BLEEDING,
198908009,SNOMED,PREG_BLEEDING,
35898002,SNOMED,PREG_BLEEDING,
360561001,SNOMED,PREG_BLEEDING,
405736009,SNOMED,PREG_BLEEDING,
75836008,SNOMED,PREG_BLEEDING,
198896000,SNOMED,PREG_BLEEDING,
156100004,SNOMED,PREG_BLEEDING,
157060009,SNOMED,PREG_BLEEDING,
2814002,SNOMED,PREG_BLEEDING,
156104008,SNOMED,PREG_BLEEDING,
198936004,SNOMED,PREG_BLEEDING,
198940008,SNOMED,PREG_BLEEDING,
198937008,SNOMED,PREG_BLEEDING,
156103002,SNOMED,PREG_BLEEDING,
