event_definition,coding_system,code,code_name,concept,concept_name,tags,origin,system,event_abbreviation,type
At term delivery with birth unsp,SNOMEDCT_US,199375007,High head at term - delivered,C0156946,"High head at term, delivered, with or without mention of antepartum condition",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SNOMEDCT_US,302253005,Delivered by cesarean section - pregnancy at term,C0579080,Delivered by cesarean section - pregnancy at term,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SNOMEDCT_US,200147006,Cesarean section - pregnancy at term,C0475520,Cesarean section - pregnancy at term,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SNOMEDCT_US,23667007,Term pregnancy delivered,C0233089,Term pregnancy delivered,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SNOMEDCT_US,87527008,Term pregnancy,C0232991,Term pregnancy,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10_2019,O32.4,Maternal care for high head at term,C0426187,Failure of fetal head to enter pelvic brim,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10_2019,O60.2,Preterm spontaneous labour with term delivery,C0022876,Premature Obstetric Labor,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10_2019,O60.23,"Term delivery with preterm labor, third trimester",C0000000,Unassociated custom codes,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10_2019,O60.22,"Term delivery with preterm labor, second trimester",C0000000,Unassociated custom codes,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10_2019,O60.20,"Term delivery with preterm labor, unspecified trimester",C0000000,Unassociated custom codes,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10,O60.23,Term delivery with preterm labor- third trimester,C0000000,Unassociated custom codes,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10,O60.22,Term delivery with preterm labor- second trimester,C0000000,Unassociated custom codes,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10,O60.20,Term delivery with preterm labor- unspecified trimester,C0000000,Unassociated custom codes,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10,O60.2,Term delivery with preterm labor - Preterm spontaneous labor with term delivery,C0000000,Unassociated custom codes,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,MTHICD9,652.5,Failure of head to enter pelvic brim,C0426187,Failure of fetal head to enter pelvic brim,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,MTHICD9,652.53,"High head at term, antepartum",C0156947,"High head at term, antepartum condition or complication",exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,MTHICD9,652.51,"High head at term, delivered",C0156946,"High head at term, delivered, with or without mention of antepartum condition",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,MTHICD9,652.50,"High head at term, unspecified as to episode of care",C0156945,"High head at term, unspecified as to episode of care or not applicable",exclude,,P,AtTermBUNSP,PrA
At term delivery with live birth,SCTSPA,9343003,nacimiento de término de recién nacido de sexo femenino,C0233326,Term birth of newborn female,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SCTSPA,50758004,nacimiento de término de mellizos,C0233327,Term birth of newborn twins,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SCTSPA,21243004,nacimiento de término,C0233324,Term Birth,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SCTSPA,21127004,nacimiento de término de recién nacido de sexo masculino,C0233325,Term birth of newborn male,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SCTSPA,8333008,nacimiento de término de trillizos,C0233328,Term birth of newborn triplets,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SCTSPA,7888004,nacimiento de término de cuatrillizos,C0233329,Term birth of newborn quadruplets,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SCTSPA,86803008,nacimiento de término de quintillizos,C0233330,Term birth of newborn quintuplets,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SCTSPA,52483005,nacimiento de término de sextillizos,C0233331,Term birth of newborn sextuplets,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SCTSPA,17333005,nacimiento de término de recién nacidos múltiples,C0233332,Term birth of multiple newborns,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SNOMEDCT_US,9343003,Term birth of newborn female,C0233326,Term birth of newborn female,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SNOMEDCT_US,50758004,Term birth of newborn twins,C0233327,Term birth of newborn twins,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SNOMEDCT_US,21243004,Term birth of newborn,C0233324,Term Birth,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SNOMEDCT_US,21127004,Term birth of newborn male,C0233325,Term birth of newborn male,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SNOMEDCT_US,8333008,Term birth of newborn triplets,C0233328,Term birth of newborn triplets,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SNOMEDCT_US,7888004,Term birth of newborn quadruplets,C0233329,Term birth of newborn quadruplets,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SNOMEDCT_US,86803008,Term birth of newborn quintuplets,C0233330,Term birth of newborn quintuplets,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SNOMEDCT_US,52483005,Term birth of newborn sextuplets,C0233331,Term birth of newborn sextuplets,narrow,,P,AtTermLB,PrA
At term delivery with live birth,SNOMEDCT_US,17333005,Term birth of multiple newborns,C0233332,Term birth of multiple newborns,narrow,,P,AtTermLB,PrA
Birth with unspecified outcome,ICD9CMP,658.33,"Delayed delivery after artificial rupture of membranes, antepartum condition or complication",C0157155,"Delayed delivery after artificial rupture of membranes, antepartum condition or complication",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.31,"Delayed delivery after artificial rupture of membranes, delivered, with or without mention of antepartum condition",C0157154,"Delayed delivery after artificial rupture of membranes, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.30,"Delayed delivery after artificial rupture of membranes, unspecified as to episode of care or not applicable",C0157153,"Delayed delivery after artificial rupture of membranes, unspecified as to episode of care or not applicable",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.3,Delayed delivery after artificial rupture of membranes,C0157152,Delayed delivery after artificial rupture of membranes,narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.41,"Infection of amniotic cavity, delivered, with or without mention of antepartum condition",C0157157,"Infection of amniotic cavity, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,654.42,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with mention of postpartum complication",C0157030,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with mention of postpartum complication",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.23,"Delayed delivery after spontaneous or unspecified rupture of membranes, antepartum condition or complication",C0157151,"Delayed delivery after spontaneous or unspecified rupture of membranes, antepartum condition or complication",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.31,"Delayed delivery of second twin, triplet, etc., delivered, with or without mention of antepartum condition",C0157272,"Delayed delivery of second twin, triplet, etc., delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.21,"Delayed delivery after spontaneous or unspecified rupture of membranes, delivered, with or without mention of antepartum condition",C0157150,"Delayed delivery after spontaneous or unspecified rupture of membranes, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.30,"Delayed delivery of second twin, triplet, etc., unspecified as to episode of care or not applicable",C0157271,"Delayed delivery of second twin, triplet, etc., unspecified as to episode of care or not applicable",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.3,"Delayed delivery of second twin, triplet, etc.",C0157270,"Delayed delivery of second twin, triplet, etc.",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.33,"Delayed delivery of second twin, triplet, etc., antepartum condition or complication",C0157270,"Delayed delivery of second twin, triplet, etc.",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,664.14,"Second-degree perineal laceration, postpartum condition or complication",C0490051,"Second-degree perineal laceration, postpartum condition or complication",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,654.41,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with or without mention of antepartum condition",C0157029,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.20,"Delayed delivery after spontaneous or unspecified rupture of membranes, unspecified as to episode of care or not applicable",C0157149,"Delayed delivery after spontaneous or unspecified rupture of membranes, unspecified as to episode of care or not applicable",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,654.31,"Retroverted and incarcerated gravid uterus, delivered, with mention of antepartum condition",C0157023,"Retroverted and incarcerated gravid uterus, delivered, with mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.13,"Unspecified prolonged labor, antepartum condition or complication",C0157265,"Prolonged labour, unspecified type, antepartum",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.11,"Unspecified prolonged labor, delivered, with or without mention of antepartum condition",C0157264,"Prolonged labour, unspecified type, delivered",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.01,"Oligohydramnios, delivered, with or without mention of antepartum condition",C0157142,"Oligohydramnios, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.10,"Unspecified prolonged labor, unspecified as to episode of care or not applicable",C0157263,"Prolonged labour, unspecified type, unspecified as to episode of care",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.03,"Prolonged first stage of labor, antepartum condition or complication",C0157262,"Prolonged first stage of labour, antepartum",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.23,"Prolonged second stage of labor, antepartum condition or complication",C0157269,"Prolonged second stage of labour, antepartum",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.21,"Prolonged second stage of labor, delivered, with or without mention of antepartum condition",C0157268,"Prolonged second stage of labour, delivered",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.11,"Premature rupture of membranes, delivered, with or without mention of antepartum condition",C0157146,"Premature rupture of membranes, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.20,"Prolonged second stage of labor, unspecified as to episode of care or not applicable",C0157267,"Prolonged second stage of labor, unspecified as to episode of care",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,654.32,"Retroverted and incarcerated gravid uterus, delivered, with mention of postpartum complication",C0157024,"Retroverted and incarcerated gravid uterus, delivered, with mention of postpartum complication",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.10,"Premature rupture of membranes, unspecified as to episode of care or not applicable",C0157145,"Premature rupture of membranes, unspecified as to episode of care",exclude,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.2,Prolonged second stage of labor,C0157266,Prolonged second stage of labor,narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.01,"Prolonged first stage of labor, delivered, with or without mention of antepartum condition",C0157261,"Prolonged first stage of labour, delivered",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.00,"Prolonged first stage of labor, unspecified as to episode of care or not applicable",C0157260,"Prolonged first stage of labor, unspecified as to episode of care",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,645.21,"Prolonged pregnancy, delivered, with or without mention of antepartum condition",C1176347,"Prolonged pregnancy, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,654.81,"Congenital or acquired abnormality of vulva, delivered, with or without mention of antepartum condition",C0157053,"Congenital or acquired abnormality of vulva, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,659.13,"Failed medical or unspecified induction of labor, antepartum condition or complication",C0157174,"Failed medical or unspecified induction of labor, antepartum condition or complication",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,654.91,"Other and unspecified abnormality of organs and soft tissues of pelvis, delivered, with or without mention of antepartum condition",C0157059,"Other and unspecified abnormality of organs and soft tissues of pelvis, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,659.11,"Failed medical or unspecified induction of labor, delivered, with or without mention of antepartum condition",C0157173,"Failed medical or unspecified induction of labor, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,659.10,"Failed medical or unspecified induction of labor, unspecified as to episode of care or not applicable",C0157172,"Failed medical or unspecified induction of labor, unspecified as to episode of care or not applicable",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,652.31,"Transverse or oblique presentation, delivered, with or without mention of antepartum condition",C0375392,"Transverse or oblique presentation, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,654.21,"Previous cesarean delivery, delivered, with or without mention of antepartum condition",C0375395,"Previous cesarean delivery, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,654.71,"Congenital or acquired abnormality of vagina, delivered, with or without mention of antepartum condition",C0157047,"Congenital or acquired abnormality of vagina, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,659.00,"Failed mechanical induction of labor, unspecified as to episode of care or not applicable",C0157168,"Failed mechanical induction of labor, unspecified as to episode of care or not applicable",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.81,"Other problems associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition",C0157160,"Other problems associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,665.31,"Laceration of cervix, delivered, with or without mention of antepartum condition",C0157358,Laceration of cervix due to childbirth,narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,665.3,Obstetrical laceration of cervix,C0157358,Laceration of cervix due to childbirth,exclude,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,656.21,"Isoimmunization from other and unspecified blood-group incompatibility, delivered, with or without mention of antepartum condition",C0157110,"Isoimmunization from other and unspecified blood-group incompatibility, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,665.11,"Rupture of uterus during labor, delivered, with or without mention of antepartum condition",C0157351,"Rupture of uterus during labor, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,665.22,"Inversion of uterus, delivered, with mention of postpartum complication",C0157356,"Inversion of uterus, delivered, with mention of postpartum complication",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,656.31,"Fetal distress, affecting management of mother, delivered, with or without mention of antepartum condition",C0157113,"Fetal distress, affecting management of mother, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,658.91,"Unspecified problem associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition",C2114658,"Unspecified problem associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,674.42,"Placental polyp, delivered, with mention of postpartum complication",C0157590,"Placental polyp, delivered, with mention of postpartum complication",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,656.11,"Rhesus isoimmunization, delivered, with or without mention of antepartum condition",C0157106,"Rhesus isoimmunization, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,669.42,"Other complications of obstetrical surgery and procedures, delivered, with mention of postpartum complication",C0157468,"Other complications of obstetrical surgery and procedures, delivered, with mention of postpartum complication",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,660.51,"Locked twins, delivered, with or without mention of antepartum condition",C0157221,"Locked twins, with delivery",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,669.32,"Acute kidney failure following labor and delivery, delivered, with mention of postpartum complication",C0157463,"Acute kidney failure following labor and delivery, delivered, with mention of postpartum complication",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,669.30,"Acute kidney failure following labor and delivery, unspecified as to episode of care or not applicable",C0157462,"Acute kidney failure following labor and delivery, unspecified as to episode of care or not applicable",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,660.61,"Unspecified failed trial of labor, delivered, with or without mention of antepartum condition",C0157225,"Unspecified failed trial of labor, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,669.41,"Other complications of obstetrical surgery and procedures, delivered, with or without mention of antepartum condition",C0157467,"Other complications of obstetrical surgery and procedures, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,656.01,"Fetal-maternal hemorrhage, delivered, with or without mention of antepartum condition",C0157103,"Foetal-maternal haemorrhage, with delivery",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,660.6,"Failed trial of labor, unspecified",C0157223,Failed trial of labor,narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,678.01,"Fetal hematologic conditions, delivered, with or without mention of antepartum condition",C2349592,"Fetal hematologic conditions, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,662.0,Prolonged first stage of labor,C0157259,Prolonged first stage of labor,narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,678.11,"Fetal conjoined twins, delivered, with or without mention of antepartum condition",C2349598,"Fetal conjoined twins, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
Birth with unspecified outcome,ICD9CMP,656.81,"Other specified fetal and placental problems, affecting management of mother, delivered, with or without mention of antepartum condition",C0157132,"Other specified fetal and placental problems, affecting management of mother, delivered, with or without mention of antepartum condition",narrow,,P,BirthNarrowBUNSP,PrA
