event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_issue_dot,code
At term delivery,ICD10CM,Maternal care for high head at term- other fetus,"","",narrow,P,AtTerm,PrA,O32.4XX9,O32.4XX9
At term delivery,ICD10CM,Term delivery with preterm labor - Preterm spontaneous labor with term delivery,"","",narrow,P,AtTerm,PrA,O60.2,O60.2
At term delivery,ICD10CM,Term delivery with preterm labor- second trimester,"","",narrow,P,AtTerm,PrA,O60.22,O60.22
At term delivery,ICD10CM,Term delivery with preterm labor- third trimester,"","",narrow,P,AtTerm,PrA,O60.23,O60.23
At term delivery,ICD10CM,Term delivery with preterm labor- unspecified trimester,"","",narrow,P,AtTerm,PrA,O60.20,O60.20
At term delivery,ICD9CM,High fetal head at term,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTerm,PrA,652.5,652.5
At term delivery,ICD9CM,High head at term- antepartum condition or complication,C0156947,High head at term- antepartum condition or complication,possible,P,AtTerm,PrA,652.53,652.53
At term delivery,ICD9CM,High head at term- delivered- with or without mention of antepartum condition,C0156946,High head at term - delivered,narrow,P,AtTerm,PrA,652.51,652.51
At term delivery,ICD9CM,High head at term- delivered- with or without mention of antepartum condition,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTerm,PrA,652.51,652.51
At term delivery,ICD9CM,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,possible,P,AtTerm,PrA,652.5,652.5
At term delivery,ICD9CM,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,possible,P,AtTerm,PrA,652.50,652.50
At term delivery,ICD9CMP,High fetal head at term,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTerm,PrA,652.5,652.5
At term delivery,ICD9CMP,High head at term- antepartum condition or complication,C0156947,High head at term- antepartum condition or complication,possible,P,AtTerm,PrA,652.53,652.53
At term delivery,ICD9CMP,High head at term- delivered- with or without mention of antepartum condition,C0156946,High head at term - delivered,narrow,P,AtTerm,PrA,652.51,652.51
At term delivery,ICD9CMP,High head at term- delivered- with or without mention of antepartum condition,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTerm,PrA,652.51,652.51
At term delivery,ICD9CMP,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,possible,P,AtTerm,PrA,652.5,652.5
At term delivery,ICD9CMP,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,possible,P,AtTerm,PrA,652.50,652.50
At term delivery,MTHICD9,Failure of head to enter pelvic brim,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTerm,PrA,652.5,652.5
At term delivery,MTHICD9,High head at term- antepartum,C0156947,High head at term- antepartum condition or complication,possible,P,AtTerm,PrA,652.53,652.53
At term delivery,MTHICD9,High head at term- delivered,C0156946,High head at term - delivered,narrow,P,AtTerm,PrA,652.51,652.51
At term delivery,MTHICD9,High head at term- delivered,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTerm,PrA,652.51,652.51
At term delivery,MTHICD9,High head at term- unspecified as to episode of care,C0156945,High head at term- unspecified as to episode of care or not applicable,possible,P,AtTerm,PrA,652.5,652.5
At term delivery,MTHICD9,High head at term- unspecified as to episode of care,C0156945,High head at term- unspecified as to episode of care or not applicable,possible,P,AtTerm,PrA,652.50,652.50
At term delivery,RCD2,Caesarean section - pregn term,C0475520,Cesarean section - pregnancy at term,narrow,P,AtTerm,PrA,L3982,L3982
At term delivery,RCD2,High head at term,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTerm,PrA,L227.,L227.
At term delivery,RCD2,High head at term - delivered,C0156946,High head at term - delivered,narrow,P,AtTerm,PrA,L2271,L2271
At term delivery,RCD2,High head at term - delivered,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTerm,PrA,L2271,L2271
At term delivery,RCD2,High head at term NOS,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTerm,PrA,L227z,L227z
At term delivery,RCD2,High head at term unspecified,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTerm,PrA,L2270,L2270
At term delivery,RCD2,High head at term+a-n problem,C0426188,High head at term with antenatal problem,possible,P,AtTerm,PrA,L2272,L2272
At term delivery,SCTSPA,Term birth of fraternal twins- both stillborn,"","",narrow,P,AtTerm,PrA,83121003,83121003
At term delivery,SCTSPA,Term birth of identical twins- both stillborn,"","",narrow,P,AtTerm,PrA,75697004,75697004
At term delivery,SCTSPA,Term birth of newborn female,"","",narrow,P,AtTerm,PrA,9343003,9343003
At term delivery,SCTSPA,Term birth of newborn male,"","",narrow,P,AtTerm,PrA,21127004,21127004
At term delivery,SCTSPA,cabeza alta a término - nacido,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTerm,PrA,199375007,199375007
At term delivery,SCTSPA,cabeza alta de término,"","",narrow,P,AtTerm,PrA,199373000,199373000
At term delivery,SCTSPA,cabeza alta de término con problema prenatal,"","",narrow,P,AtTerm,PrA,199376008,199376008
At term delivery,SCTSPA,cabeza alta de término con problema prenatal,C0426188,High head at term with antenatal problem,possible,P,AtTerm,PrA,199376008,199376008
At term delivery,SCTSPA,cesárea - embarazo a término,C0475520,Cesarean section - pregnancy at term,narrow,P,AtTerm,PrA,200147006,200147006
At term delivery,SCTSPA,embarazo a término,C0232991,Term pregnancy,narrow,P,AtTerm,PrA,87527008,87527008
At term delivery,SCTSPA,embarazo a término - nacido,C0233089,Term pregnancy delivered,narrow,P,AtTerm,PrA,23667007,23667007
At term delivery,SCTSPA,feto a término- edad de 36 a 42 semanas de gestación [como un todo],C1281513,Entire full term fetus- age 36-42 weeks,narrow,P,AtTerm,PrA,299124003,299124003
At term delivery,SCTSPA,nacido por cesárea - embarazo a término,C0579080,Delivered by cesarean section - pregnancy at term,narrow,P,AtTerm,PrA,302253005,302253005
At term delivery,SCTSPA,nacimiento de término,C0233324,Term Birth,narrow,P,AtTerm,PrA,21243004,21243004
At term delivery,SCTSPA,nacimiento de término de cuatrillizos,C0233329,Term birth of newborn quadruplets,narrow,P,AtTerm,PrA,7888004,7888004
At term delivery,SCTSPA,nacimiento de término de mellizos,C0233327,Term birth of newborn twins,narrow,P,AtTerm,PrA,50758004,50758004
At term delivery,SCTSPA,nacimiento de término de mellizos muertos,C0233342,Term birth of stillborn twins,narrow,P,AtTerm,PrA,52942000,52942000
At term delivery,SCTSPA,nacimiento de término de quintillizos,C0233330,Term birth of newborn quintuplets,narrow,P,AtTerm,PrA,86803008,86803008
At term delivery,SCTSPA,nacimiento de término de recién nacido de sexo femenino (hallazgo),"","",narrow,P,AtTerm,PrA,9343003,9343003
At term delivery,SCTSPA,nacimiento de término de recién nacido de sexo masculino (hallazgo),"","",narrow,P,AtTerm,PrA,21127004,21127004
At term delivery,SCTSPA,nacimiento de término de recién nacidos múltiples,C0233332,Term birth of multiple newborns,narrow,P,AtTerm,PrA,17333005,17333005
At term delivery,SCTSPA,nacimiento de término de sextillizos,C0233331,Term birth of newborn sextuplets,narrow,P,AtTerm,PrA,52483005,52483005
At term delivery,SCTSPA,nacimiento de término de trillizos,C0233328,Term birth of newborn triplets,narrow,P,AtTerm,PrA,8333008,8333008
At term delivery,SCTSPA,número de nacimientos a término,C2585169,Number of births at term,narrow,P,AtTerm,PrA,440425000,440425000
At term delivery,SCTSPA,presentación alta a término - nacido,C0156946,High head at term - delivered,narrow,P,AtTerm,PrA,199375007,199375007
At term delivery,SNOMEDCT_US,Cesarean section - pregnancy at term,C0475520,Cesarean section - pregnancy at term,narrow,P,AtTerm,PrA,200147006,200147006
At term delivery,SNOMEDCT_US,Delivered by cesarean section - pregnancy at term,C0579080,Delivered by cesarean section - pregnancy at term,narrow,P,AtTerm,PrA,302253005,302253005
At term delivery,SNOMEDCT_US,Entire full term fetus- age 36-42 weeks,C1281513,Entire full term fetus- age 36-42 weeks,narrow,P,AtTerm,PrA,299124003,299124003
At term delivery,SNOMEDCT_US,High head at term - delivered,C0156946,High head at term - delivered,narrow,P,AtTerm,PrA,199375007,199375007
At term delivery,SNOMEDCT_US,High head at term - delivered,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTerm,PrA,199375007,199375007
At term delivery,SNOMEDCT_US,High head at term with antenatal problem,C0426188,High head at term with antenatal problem,possible,P,AtTerm,PrA,199376008,199376008
At term delivery,SNOMEDCT_US,Number of births at term,C2585169,Number of births at term,narrow,P,AtTerm,PrA,440425000,440425000
At term delivery,SNOMEDCT_US,Term birth of multiple newborns,C0233332,Term birth of multiple newborns,narrow,P,AtTerm,PrA,17333005,17333005
At term delivery,SNOMEDCT_US,Term birth of newborn,C0233324,Term Birth,narrow,P,AtTerm,PrA,21243004,21243004
At term delivery,SNOMEDCT_US,Term birth of newborn female,"","",narrow,P,AtTerm,PrA,9343003,9343003
At term delivery,SNOMEDCT_US,Term birth of newborn female (finding),"","",narrow,P,AtTerm,PrA,9343003,9343003
At term delivery,SNOMEDCT_US,Term birth of newborn male,"","",narrow,P,AtTerm,PrA,21127004,21127004
At term delivery,SNOMEDCT_US,Term birth of newborn male (finding),"","",narrow,P,AtTerm,PrA,21127004,21127004
At term delivery,SNOMEDCT_US,Term birth of newborn quadruplets,C0233329,Term birth of newborn quadruplets,narrow,P,AtTerm,PrA,7888004,7888004
At term delivery,SNOMEDCT_US,Term birth of newborn quintuplets,C0233330,Term birth of newborn quintuplets,narrow,P,AtTerm,PrA,86803008,86803008
At term delivery,SNOMEDCT_US,Term birth of newborn sextuplets,C0233331,Term birth of newborn sextuplets,narrow,P,AtTerm,PrA,52483005,52483005
At term delivery,SNOMEDCT_US,Term birth of newborn triplets,C0233328,Term birth of newborn triplets,narrow,P,AtTerm,PrA,8333008,8333008
At term delivery,SNOMEDCT_US,Term birth of newborn twins,C0233327,Term birth of newborn twins,narrow,P,AtTerm,PrA,50758004,50758004
At term delivery,SNOMEDCT_US,Term birth of stillborn twins,C0233342,Term birth of stillborn twins,narrow,P,AtTerm,PrA,52942000,52942000
At term delivery,SNOMEDCT_US,Term pregnancy,C0232991,Term pregnancy,narrow,P,AtTerm,PrA,87527008,87527008
At term delivery,SNOMEDCT_US,Term pregnancy delivered,C0233089,Term pregnancy delivered,narrow,P,AtTerm,PrA,23667007,23667007
At term delivery with birth unsp,ICD10,Maternal care for high head at term,C0495205,Maternal care for high head at term,narrow,P,AtTermBUNSP,PrA,O32.4,O32.4
At term delivery with birth unsp,ICD10,Term delivery with preterm labor - Preterm spontaneous labor with term delivery,"","",narrow,P,AtTermBUNSP,PrA,O60.2,O60.2
At term delivery with birth unsp,ICD10,Term delivery with preterm labor- second trimester,"","",narrow,P,AtTermBUNSP,PrA,O60.22,O60.22
At term delivery with birth unsp,ICD10,Term delivery with preterm labor- third trimester,"","",narrow,P,AtTermBUNSP,PrA,O60.23,O60.23
At term delivery with birth unsp,ICD10,Term delivery with preterm labor- unspecified trimester,"","",narrow,P,AtTermBUNSP,PrA,O60.20,O60.20
At term delivery with birth unsp,ICD10CM,Maternal care for high head at term,C0495205,Maternal care for high head at term,narrow,P,AtTermBUNSP,PrA,O32.4,O32.4
At term delivery with birth unsp,ICD10CM,Maternal care for high head at term- fetus 1,"","",narrow,P,AtTermBUNSP,PrA,O32.4XX1,O32.4XX1
At term delivery with birth unsp,ICD10CM,Maternal care for high head at term- fetus 2,"","",narrow,P,AtTermBUNSP,PrA,O32.4XX2,O32.4XX2
At term delivery with birth unsp,ICD10CM,Maternal care for high head at term- fetus 3,"","",narrow,P,AtTermBUNSP,PrA,O32.4XX3,O32.4XX3
At term delivery with birth unsp,ICD10CM,Maternal care for high head at term- fetus 4,"","",narrow,P,AtTermBUNSP,PrA,O32.4XX4,O32.4XX4
At term delivery with birth unsp,ICD10CM,Maternal care for high head at term- fetus 5,"","",narrow,P,AtTermBUNSP,PrA,O32.4XX5,O32.4XX5
At term delivery with birth unsp,ICD10CM,Maternal care for high head at term- not applicable or unspecified,"","",narrow,P,AtTermBUNSP,PrA,O32.4XX0,O32.4XX0
At term delivery with birth unsp,ICD10CM,Maternal care for high head at term- other fetus,"","",narrow,P,AtTermBUNSP,PrA,O32.4XX9,O32.4XX9
At term delivery with birth unsp,ICD10CM,Term delivery with preterm labor - Preterm spontaneous labor with term delivery,"","",narrow,P,AtTermBUNSP,PrA,O60.2,O60.2
At term delivery with birth unsp,ICD10CM,Term delivery with preterm labor- second trimester,"","",narrow,P,AtTermBUNSP,PrA,O60.22,O60.22
At term delivery with birth unsp,ICD10CM,Term delivery with preterm labor- third trimester,"","",narrow,P,AtTermBUNSP,PrA,O60.23,O60.23
At term delivery with birth unsp,ICD10CM,Term delivery with preterm labor- unspecified trimester,"","",narrow,P,AtTermBUNSP,PrA,O60.20,O60.20
At term delivery with birth unsp,ICD9CM,High fetal head at term,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTermBUNSP,PrA,652.5,652.5
At term delivery with birth unsp,ICD9CM,High head at term- antepartum condition or complication,C0156947,High head at term- antepartum condition or complication,narrow,P,AtTermBUNSP,PrA,652.53,652.53
At term delivery with birth unsp,ICD9CM,High head at term- delivered- with or without mention of antepartum condition,C0156946,High head at term - delivered,narrow,P,AtTermBUNSP,PrA,652.51,652.51
At term delivery with birth unsp,ICD9CM,High head at term- delivered- with or without mention of antepartum condition,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTermBUNSP,PrA,652.51,652.51
At term delivery with birth unsp,ICD9CM,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,narrow,P,AtTermBUNSP,PrA,652.5,652.5
At term delivery with birth unsp,ICD9CM,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,narrow,P,AtTermBUNSP,PrA,652.50,652.50
At term delivery with birth unsp,ICD9CMP,High fetal head at term,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTermBUNSP,PrA,652.5,652.5
At term delivery with birth unsp,ICD9CMP,High head at term- antepartum condition or complication,C0156947,High head at term- antepartum condition or complication,narrow,P,AtTermBUNSP,PrA,652.53,652.53
At term delivery with birth unsp,ICD9CMP,High head at term- delivered- with or without mention of antepartum condition,C0156946,High head at term - delivered,narrow,P,AtTermBUNSP,PrA,652.51,652.51
At term delivery with birth unsp,ICD9CMP,High head at term- delivered- with or without mention of antepartum condition,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTermBUNSP,PrA,652.51,652.51
At term delivery with birth unsp,ICD9CMP,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,narrow,P,AtTermBUNSP,PrA,652.5,652.5
At term delivery with birth unsp,ICD9CMP,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,narrow,P,AtTermBUNSP,PrA,652.50,652.50
At term delivery with birth unsp,MTHICD9,Failure of head to enter pelvic brim,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTermBUNSP,PrA,652.5,652.5
At term delivery with birth unsp,MTHICD9,High head at term- antepartum,C0156947,High head at term- antepartum condition or complication,narrow,P,AtTermBUNSP,PrA,652.53,652.53
At term delivery with birth unsp,MTHICD9,High head at term- delivered,C0156946,High head at term - delivered,narrow,P,AtTermBUNSP,PrA,652.51,652.51
At term delivery with birth unsp,MTHICD9,High head at term- delivered,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTermBUNSP,PrA,652.51,652.51
At term delivery with birth unsp,MTHICD9,High head at term- unspecified as to episode of care,C0156945,High head at term- unspecified as to episode of care or not applicable,narrow,P,AtTermBUNSP,PrA,652.5,652.5
At term delivery with birth unsp,MTHICD9,High head at term- unspecified as to episode of care,C0156945,High head at term- unspecified as to episode of care or not applicable,narrow,P,AtTermBUNSP,PrA,652.50,652.50
At term delivery with birth unsp,RCD2,Caesarean section - pregn term,C0475520,Cesarean section - pregnancy at term,narrow,P,AtTermBUNSP,PrA,L3982,L3982
At term delivery with birth unsp,RCD2,High head at term,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTermBUNSP,PrA,L227.,L227.
At term delivery with birth unsp,RCD2,High head at term - delivered,C0156946,High head at term - delivered,narrow,P,AtTermBUNSP,PrA,L2271,L2271
At term delivery with birth unsp,RCD2,High head at term - delivered,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTermBUNSP,PrA,L2271,L2271
At term delivery with birth unsp,RCD2,High head at term NOS,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTermBUNSP,PrA,L227z,L227z
At term delivery with birth unsp,RCD2,High head at term unspecified,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,AtTermBUNSP,PrA,L2270,L2270
At term delivery with birth unsp,RCD2,High head at term+a-n problem,C0426188,High head at term with antenatal problem,narrow,P,AtTermBUNSP,PrA,L2272,L2272
At term delivery with birth unsp,SCTSPA,cabeza alta a término - nacido,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTermBUNSP,PrA,199375007,199375007
At term delivery with birth unsp,SCTSPA,cabeza alta de término,"","",narrow,P,AtTermBUNSP,PrA,199373000,199373000
At term delivery with birth unsp,SCTSPA,cabeza alta de término con problema prenatal,"","",narrow,P,AtTermBUNSP,PrA,199376008,199376008
At term delivery with birth unsp,SCTSPA,cabeza alta de término con problema prenatal,C0426188,High head at term with antenatal problem,narrow,P,AtTermBUNSP,PrA,199376008,199376008
At term delivery with birth unsp,SCTSPA,cesárea - embarazo a término,C0475520,Cesarean section - pregnancy at term,narrow,P,AtTermBUNSP,PrA,200147006,200147006
At term delivery with birth unsp,SCTSPA,embarazo a término,C0232991,Term pregnancy,narrow,P,AtTermBUNSP,PrA,87527008,87527008
At term delivery with birth unsp,SCTSPA,embarazo a término - nacido,C0233089,Term pregnancy delivered,narrow,P,AtTermBUNSP,PrA,23667007,23667007
At term delivery with birth unsp,SCTSPA,feto a término- edad de 36 a 42 semanas de gestación [como un todo],C1281513,Entire full term fetus- age 36-42 weeks,narrow,P,AtTermBUNSP,PrA,299124003,299124003
At term delivery with birth unsp,SCTSPA,nacido por cesárea - embarazo a término,C0579080,Delivered by cesarean section - pregnancy at term,narrow,P,AtTermBUNSP,PrA,302253005,302253005
At term delivery with birth unsp,SCTSPA,presentación alta a término - nacido,C0156946,High head at term - delivered,narrow,P,AtTermBUNSP,PrA,199375007,199375007
At term delivery with birth unsp,SNOMEDCT_US,Cesarean section - pregnancy at term,C0475520,Cesarean section - pregnancy at term,narrow,P,AtTermBUNSP,PrA,200147006,200147006
At term delivery with birth unsp,SNOMEDCT_US,Delivered by cesarean section - pregnancy at term,C0579080,Delivered by cesarean section - pregnancy at term,narrow,P,AtTermBUNSP,PrA,302253005,302253005
At term delivery with birth unsp,SNOMEDCT_US,Entire full term fetus- age 36-42 weeks,C1281513,Entire full term fetus- age 36-42 weeks,narrow,P,AtTermBUNSP,PrA,299124003,299124003
At term delivery with birth unsp,SNOMEDCT_US,High head at term - delivered,C0156946,High head at term - delivered,narrow,P,AtTermBUNSP,PrA,199375007,199375007
At term delivery with birth unsp,SNOMEDCT_US,High head at term - delivered,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,AtTermBUNSP,PrA,199375007,199375007
At term delivery with birth unsp,SNOMEDCT_US,High head at term with antenatal problem,C0426188,High head at term with antenatal problem,narrow,P,AtTermBUNSP,PrA,199376008,199376008
At term delivery with birth unsp,SNOMEDCT_US,Term pregnancy,C0232991,Term pregnancy,narrow,P,AtTermBUNSP,PrA,87527008,87527008
At term delivery with birth unsp,SNOMEDCT_US,Term pregnancy delivered,C0233089,Term pregnancy delivered,narrow,P,AtTermBUNSP,PrA,23667007,23667007
At term delivery with live birth,SCTSPA,Term birth of newborn female,"","",narrow,P,AtTermLB,PrA,9343003,9343003
At term delivery with live birth,SCTSPA,Term birth of newborn male,"","",narrow,P,AtTermLB,PrA,21127004,21127004
At term delivery with live birth,SCTSPA,nacimiento de término,C0233324,Term Birth,narrow,P,AtTermLB,PrA,21243004,21243004
At term delivery with live birth,SCTSPA,nacimiento de término de cuatrillizos,C0233329,Term birth of newborn quadruplets,narrow,P,AtTermLB,PrA,7888004,7888004
At term delivery with live birth,SCTSPA,nacimiento de término de mellizos,C0233327,Term birth of newborn twins,narrow,P,AtTermLB,PrA,50758004,50758004
At term delivery with live birth,SCTSPA,nacimiento de término de quintillizos,C0233330,Term birth of newborn quintuplets,narrow,P,AtTermLB,PrA,86803008,86803008
At term delivery with live birth,SCTSPA,nacimiento de término de recién nacido de sexo femenino (hallazgo),"","",narrow,P,AtTermLB,PrA,9343003,9343003
At term delivery with live birth,SCTSPA,nacimiento de término de recién nacido de sexo masculino (hallazgo),"","",narrow,P,AtTermLB,PrA,21127004,21127004
At term delivery with live birth,SCTSPA,nacimiento de término de recién nacidos múltiples,C0233332,Term birth of multiple newborns,narrow,P,AtTermLB,PrA,17333005,17333005
At term delivery with live birth,SCTSPA,nacimiento de término de sextillizos,C0233331,Term birth of newborn sextuplets,narrow,P,AtTermLB,PrA,52483005,52483005
At term delivery with live birth,SCTSPA,nacimiento de término de trillizos,C0233328,Term birth of newborn triplets,narrow,P,AtTermLB,PrA,8333008,8333008
At term delivery with live birth,SNOMEDCT_US,Term birth of multiple newborns,C0233332,Term birth of multiple newborns,narrow,P,AtTermLB,PrA,17333005,17333005
At term delivery with live birth,SNOMEDCT_US,Term birth of newborn,C0233324,Term Birth,narrow,P,AtTermLB,PrA,21243004,21243004
At term delivery with live birth,SNOMEDCT_US,Term birth of newborn female,"","",narrow,P,AtTermLB,PrA,9343003,9343003
At term delivery with live birth,SNOMEDCT_US,Term birth of newborn female (finding),"","",narrow,P,AtTermLB,PrA,9343003,9343003
At term delivery with live birth,SNOMEDCT_US,Term birth of newborn male,"","",narrow,P,AtTermLB,PrA,21127004,21127004
At term delivery with live birth,SNOMEDCT_US,Term birth of newborn male (finding),"","",narrow,P,AtTermLB,PrA,21127004,21127004
At term delivery with live birth,SNOMEDCT_US,Term birth of newborn quadruplets,C0233329,Term birth of newborn quadruplets,narrow,P,AtTermLB,PrA,7888004,7888004
At term delivery with live birth,SNOMEDCT_US,Term birth of newborn quintuplets,C0233330,Term birth of newborn quintuplets,narrow,P,AtTermLB,PrA,86803008,86803008
At term delivery with live birth,SNOMEDCT_US,Term birth of newborn sextuplets,C0233331,Term birth of newborn sextuplets,narrow,P,AtTermLB,PrA,52483005,52483005
At term delivery with live birth,SNOMEDCT_US,Term birth of newborn triplets,C0233328,Term birth of newborn triplets,narrow,P,AtTermLB,PrA,8333008,8333008
At term delivery with live birth,SNOMEDCT_US,Term birth of newborn twins,C0233327,Term birth of newborn twins,narrow,P,AtTermLB,PrA,50758004,50758004
Birth classified as narrow,ICD10,Abnormality of forces of labor- unspecified,"","",narrow,P,BirthNarrow,PrA,O62.9,O62.9
Birth classified as narrow,ICD10,Anal sphincter tear complicating delivery- not associated with third degree laceration,"","",narrow,P,BirthNarrow,PrA,O70.4,O70.4
Birth classified as narrow,ICD10,Aspiration pneumonitis due to anaesthesia during labor and delivery - Aspiration pneumonitis due to anesthesia during labor and delivery,"","",narrow,P,BirthNarrow,PrA,O74.0,O74.0
Birth classified as narrow,ICD10,Cardiac complications of anesthesia during labor and delivery - Cardiac complications of anaesthesia during labor and delivery,"","",narrow,P,BirthNarrow,PrA,O74.2,O74.2
Birth classified as narrow,ICD10,Central nervous system complications of anaesthesia during labor and delivery - Central nervous system complications of anesthesia during labor and delivery,"","",narrow,P,BirthNarrow,PrA,O74.3,O74.3
Birth classified as narrow,ICD10,Complication of anesthesia during labor and delivery- unspecified - Complication of anaesthesia during labor and delivery- unspecified,"","",narrow,P,BirthNarrow,PrA,O74.9,O74.9
Birth classified as narrow,ICD10,Complication of labour and delivery- unspecified,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,O75.9,O75.9
Birth classified as narrow,ICD10,Delayed delivery after artificial rupture of membranes,"","",narrow,P,BirthNarrow,PrA,O75.5,O75.5
Birth classified as narrow,ICD10,Delayed delivery after spontaneous or unspecified rupture of membranes,"","",narrow,P,BirthNarrow,PrA,O75.6,O75.6
Birth classified as narrow,ICD10,Delayed delivery of second twin- triplet- etc.,"","",narrow,P,BirthNarrow,PrA,O63.2,O63.2
Birth classified as narrow,ICD10,Delivery by caesarean hysterectomy,"","",narrow,P,BirthNarrow,PrA,O82.2,O82.2
Birth classified as narrow,ICD10,Delivery by caesarean section- unspecified,"","",narrow,P,BirthNarrow,PrA,O82.9,O82.9
Birth classified as narrow,ICD10,Delivery by caesarean section- unspecified,C0007876,Cesarean section,narrow,P,BirthNarrow,PrA,O82.9,O82.9
Birth classified as narrow,ICD10,Delivery by elective caesarean section,"","",narrow,P,BirthNarrow,PrA,O82.0,O82.0
Birth classified as narrow,ICD10,Delivery by emergency caesarean section,"","",narrow,P,BirthNarrow,PrA,O82.1,O82.1
