code,code_name,event_abbreviation,event_definition,coding_system,code_issue_dot,concept,concept_name,tags,system,type
10045191,Twin pregnancy with fetal loss and retention of one fetus- unspec as to eoc or not appli,StillBirth,Stillbirth,MDR,10045191,C0156902,Twin pregnancy with fetal loss and retention of one fetus- unspecified as to episode of care or not applicable,possible,P,PrA
10045638,Unspecified antepartum renal disease,PREECLAMP,Preeclampsia,MDR,10045638,C0156738,Renal disorder in pregnancy,possible,P,PrA
10046135,Unspecified renal disease in pregnancy- unspecified as to episode of care,PREECLAMP,Preeclampsia,MDR,10046135,C0156738,Renal disorder in pregnancy,possible,P,PrA
10048488,Growth intrauterine retard,FGR,Fetal growth restriction,MDR,10048488,C0015934,Fetal Growth Retardation,narrow,P,PrA
10048489,Intrauterine growth retard,FGR,Fetal growth restriction,MDR,10048489,C0015934,Fetal Growth Retardation,narrow,P,PrA
10049058,HELLP syndrome,PREECLAMP,Preeclampsia,MDR,10049058,C0162739,HELLP Syndrome,narrow,P,PrA
10053173,Stillbirth and fetal death,StillBirth,Stillbirth,MDR,10053173,C0947987,Stillbirth and foetal death,narrow,P,PrA
10053700,Fetal macrosomia,FGR,Fetal growth restriction,MDR,10053700,"","",narrow,P,PrA
10054746,Fetal growth retardation,FGR,Fetal growth restriction,MDR,10054746,C0015934,Fetal Growth Retardation,narrow,P,PrA
10055695,Foetal growth retardation- unspecified,FGR,Fetal growth restriction,MDR,10055695,C0015934,Fetal Growth Retardation,narrow,P,PrA
10055696,Foetal growth retardation- unspecified {weight},FGR,Fetal growth restriction,MDR,10055696,C0015934,Fetal Growth Retardation,narrow,P,PrA
10055697,Foetal growth retardation- unspecified- 1-000-1-249 grams,FGR,Fetal growth restriction,MDR,10055697,C0158886,Foetal growth retardation- unspecified- 1-000-1-249 grams,narrow,P,PrA
10055698,Foetal growth retardation- unspecified- 1-250-1-499 grams,FGR,Fetal growth restriction,MDR,10055698,C0158887,Foetal growth retardation- unspecified- 1-250-1-499 grams,narrow,P,PrA
10055700,Foetal growth retardation- unspecified- 1-750-1-999 grams,FGR,Fetal growth restriction,MDR,10055700,C0158889,Foetal growth retardation- unspecified- 1-750-1-999 grams,narrow,P,PrA
10055702,Foetal growth retardation- unspecified- 2-500+ grams,FGR,Fetal growth restriction,MDR,10055702,C0158891,Foetal growth retardation- unspecified- 2-500+ grams,narrow,P,PrA
10055703,Foetal growth retardation- unspecified- 500-749 grams,FGR,Fetal growth restriction,MDR,10055703,C0158884,Foetal growth retardation- unspecified- 500-749 grams,narrow,P,PrA
10055705,Foetal growth retardation- unspecified- less than 500 grams,FGR,Fetal growth restriction,MDR,10055705,C0158883,Foetal growth retardation- unspecified- less than 500 grams,narrow,P,PrA
10055706,Poor foetal growth affecting management of mother,FGR,Fetal growth restriction,MDR,10055706,C0157119,Poor fetal growth affecting management,narrow,P,PrA
10055708,Poor fetal growth- affecting management of mother- unspecified as to episode of care,FGR,Fetal growth restriction,MDR,10055708,C0157120,Poor fetal growth- affecting management of mother- unspecified as to episode of care or not applicable,narrow,P,PrA
10055710,Twin pregnancy with foetal loss and retention of one foetus,StillBirth,Stillbirth,MDR,10055710,C0156901,Twin pregnancy with foetal loss and retention of one foetus,possible,P,PrA
10056505,Renal disorder in pregnancy,PREECLAMP,Preeclampsia,MDR,10056505,C0156738,Renal disorder in pregnancy,possible,P,PrA
10060443,Papyraceous foetus- antepartum,StillBirth,Stillbirth,MDR,10060443,C0156727,Papyraceous foetus- antepartum,possible,P,PrA
10069150,Discordant twin,FGR,Fetal growth restriction,MDR,10069150,"","",narrow,P,PrA
10070531,Foetal growth restriction,FGR,Fetal growth restriction,MDR,10070531,C0015934,Fetal Growth Retardation,narrow,P,PrA
10070532,Fetal growth restriction,FGR,Fetal growth restriction,MDR,10070532,C0015934,Fetal Growth Retardation,narrow,P,PrA
10070538,Gestational hypertension,PREECLAMP,Preeclampsia,MDR,10070538,C0852036,Pregnancy associated hypertension,possible,P,PrA
10071034,Microsomia,FGR,Fetal growth restriction,MDR,10071034,C0015934,Fetal Growth Retardation,narrow,P,PrA
10074050,Pre-eclampsia toxaemia,PREECLAMP,Preeclampsia,MDR,10074050,C0032914,Pre-Eclampsia,narrow,P,PrA
10076687,Late fetal death,StillBirth,Stillbirth,MDR,10076687,C3829316,Late fetal death,narrow,P,PrA
10076697,Late foetal death,StillBirth,Stillbirth,MDR,10076697,C3829316,Late fetal death,narrow,P,PrA
10076720,Perinatal death,StillBirth,Stillbirth,MDR,10076720,C0701826,Perinatal death,narrow,P,PrA
10077582,Fetal growth abnormality,FGR,Fetal growth restriction,MDR,10077582,"","",narrow,P,PrA
10078992,Fetal resorption,StillBirth,Stillbirth,MDR,10078992,C0015951,Fetal Resorption,possible,P,PrA
10079001,Foetal resorption,StillBirth,Stillbirth,MDR,10079001,C0015951,Fetal Resorption,possible,P,PrA
10217006,Third degree perineal laceration,BirthNarrow,Birth classified as narrow,SNOMEDCT_US,10217006,C0269874,Third degree perineal laceration,narrow,P,PrA
10217006,laceración perineal de tercer grado,BirthNarrow,Birth classified as narrow,SCTSPA,10217006,C0269874,Third degree perineal laceration,narrow,P,PrA
10231000132102,embarazo por fertilización in vitro (hallazgo),OngoingPregnancy1,Ongoing Pregnancy,SCTSPA,10231000132102,"","",narrow,P,PrA
102876002,múltiples embarazos previos (hallazgo),OngoingPregnancy7,Ongoing Pregnancy,SCTSPA,102876002,C0700322,Encounter due to multiparity,narrow,P,PrA
10455003,Removal of ectopic cervical pregnancy by evacuation,ELECTTERM,Elective termination,SNOMEDCT_US,10455003,C0195635,Removal of ectopic cervical pregnancy by evacuation,narrow,P,PrA
10455003,remoción de un embarazo cervical ectópico por evacuación,ELECTTERM,Elective termination,SCTSPA,10455003,C0195635,Removal of ectopic cervical pregnancy by evacuation,narrow,P,PrA
10573002,Infection of amniotic cavity,OngoingPregnancy5,Ongoing Pregnancy,SNOMEDCT_US,10573002,C0002631,Infection of amniotic cavity,narrow,P,PrA
10573002,amnionitis,OngoingPregnancy5,Ongoing Pregnancy,SCTSPA,10573002,C0002631,Infection of amniotic cavity,narrow,P,PrA
10588007,Perinatal death,StillBirth,Stillbirth,SNOMEDCT_US,10588007,C0701826,Perinatal death,narrow,P,PrA
10588007,muerte perinatal,StillBirth,Stillbirth,SCTSPA,10588007,C0701826,Perinatal death,narrow,P,PrA
106004004,Hemorrhagic complication of pregnancy,BLEEDING,Pregnancy Bleeding,SNOMEDCT_US,106004004,C0269596,Hemorrhagic complication of pregnancy,narrow,P,PrA
106004004,Hemorrhagic complication of pregnancy,OngoingPregnancy7,Ongoing Pregnancy,SNOMEDCT_US,106004004,C0269596,Hemorrhagic complication of pregnancy,narrow,P,PrA
106004004,complicación hemorrágica del embarazo,BLEEDING,Pregnancy Bleeding,SCTSPA,106004004,C0269596,Hemorrhagic complication of pregnancy,narrow,P,PrA
106004004,complicación hemorrágica del embarazo,OngoingPregnancy7,Ongoing Pregnancy,SCTSPA,106004004,C0269596,Hemorrhagic complication of pregnancy,narrow,P,PrA
106007006,afeccion materna Y-O fetal que afecta el trabajo de parto Y-O el parto,BirthNarrow,Birth classified as narrow,SCTSPA,106007006,"","",narrow,P,PrA
10697004,Miscarriage complicated by renal failure,SpontaneousAbortion,Spontaneous abortion,SNOMEDCT_US,10697004,C0156435,Miscarriage complicated by renal failure,narrow,P,PrA
10697004,aborto espontáneo complicado por insuficiencia renal,SpontaneousAbortion,Spontaneous abortion,SCTSPA,10697004,C0156435,Miscarriage complicated by renal failure,narrow,P,PrA
10749641000119106,trastorno de la coagulación sanguínea que complica el embarazo (trastorno),OngoingPregnancy1,Ongoing Pregnancy,SCTSPA,10749641000119106,"","",narrow,P,PrA
10753491000119101,Gestational diabetes mellitus in childbirth,GESTDIAB,Gestational diabetes,SNOMEDCT_US,10753491000119101,C2903681,Gestational diabetes mellitus in childbirth,narrow,P,PrA
10753491000119101,diabetes mellitus gestacional en el momento del nacimiento,GESTDIAB,Gestational diabetes,SCTSPA,10753491000119101,C2903681,Gestational diabetes mellitus in childbirth,narrow,P,PrA
10761141000119107,Preterm labor in second trimester with preterm delivery in second trimester (finding),Preterm,Preterm delivery,SNOMEDCT_US,10761141000119107,"","",narrow,P,PrA
10761141000119107,trabajo de parto pretérmino en el segundo trimestre con parto pretérmino en el segundo trimestre de gestación (hallazgo),Preterm,Preterm delivery,SCTSPA,10761141000119107,"","",narrow,P,PrA
10761191000119104,Preterm labor in third trimester with preterm delivery in third trimester (finding),Preterm,Preterm delivery,SNOMEDCT_US,10761191000119104,"","",narrow,P,PrA
10761191000119104,trabajo de parto pretérmino en el tercer trimestre con parto pretérmino en el tercer trimestre de gestación (hallazgo),Preterm,Preterm delivery,SCTSPA,10761191000119104,"","",narrow,P,PrA
10761241000119104,Preterm spontaneous labor with preterm delivery (finding),Preterm,Preterm delivery,SNOMEDCT_US,10761241000119104,"","",narrow,P,PrA
10761241000119104,trabajo de parto pretérmino con parto pretérmino (hallazgo),Preterm,Preterm delivery,SCTSPA,10761241000119104,"","",narrow,P,PrA
10808861000119105,Maternal distress during childbirth (disorder),BirthNarrow,Birth classified as narrow,SNOMEDCT_US,10808861000119105,"","",narrow,P,PrA
10808861000119105,sufrimiento materno durante el nacimiento (trastorno),BirthNarrow,Birth classified as narrow,SCTSPA,10808861000119105,"","",narrow,P,PrA
109894007,Retained placenta,SpontaneousAbortion,Spontaneous abortion,SCTSPA,109894007,"","",possible,P,PrA
109894007,Retained placenta,SpontaneousAbortion,Spontaneous abortion,SNOMEDCT_US,109894007,"","",possible,P,PrA
109894007,placenta retenida (trastorno),BirthNarrow,Birth classified as narrow,SCTSPA,109894007,"","",narrow,P,PrA
109895008,Retained placental fragment,SpontaneousAbortion,Spontaneous abortion,SCTSPA,109895008,"","",possible,P,PrA
109895008,Retained placental fragment,SpontaneousAbortion,Spontaneous abortion,SNOMEDCT_US,109895008,"","",possible,P,PrA
111431001,Legal termination of pregnancy complicated by damage to pelvic organ and-or tissues,ELECTTERM,Elective termination,SNOMEDCT_US,111431001,C0156472,Legal termination of pregnancy complicated by damage to pelvic organ and-or tissues,narrow,P,PrA
111431001,aborto legal complicado por lesión de tejidos Y-U órganos pélvicos,ELECTTERM,Elective termination,SCTSPA,111431001,C0156472,Legal termination of pregnancy complicated by damage to pelvic organ and-or tissues,narrow,P,PrA
111432008,Legal termination of pregnancy with air embolism,ELECTTERM,Elective termination,SNOMEDCT_US,111432008,C0269480,Legal termination of pregnancy with air embolism,narrow,P,PrA
111432008,aborto legal con embolia gaseosa,ELECTTERM,Elective termination,SCTSPA,111432008,C0269480,Legal termination of pregnancy with air embolism,narrow,P,PrA
111433003,Unspecified haemorrhage in early pregnancy- unspecified as to episode of care,BLEEDING,Pregnancy Bleeding,SNOMEDCT_US,111433003,C0156613,Unspecified hemorrhage in early pregnancy- unspecified as to episode of care,narrow,P,PrA
111433003,Unspecified haemorrhage in early pregnancy- unspecified as to episode of care,OngoingPregnancy1,Ongoing Pregnancy,SNOMEDCT_US,111433003,C0156613,Unspecified hemorrhage in early pregnancy- unspecified as to episode of care,narrow,P,PrA
111433003,hemorragia no especificada en el embarazo temprano- no considerada como un episodio importante - RETIRADO -,BLEEDING,Pregnancy Bleeding,SCTSPA,111433003,C0156613,Unspecified hemorrhage in early pregnancy- unspecified as to episode of care,narrow,P,PrA
111433003,hemorragia no especificada en el embarazo temprano- no considerada como un episodio importante - RETIRADO -,OngoingPregnancy1,Ongoing Pregnancy,SCTSPA,111433003,C0156613,Unspecified hemorrhage in early pregnancy- unspecified as to episode of care,narrow,P,PrA
111435005,Other specified haemorrhage in early pregnancy- unspecified as to episode of care,BLEEDING,Pregnancy Bleeding,SNOMEDCT_US,111435005,C0156609,Other specified hemorrhage in early pregnancy- unspecified as to episode of care or not applicable,narrow,P,PrA
111435005,Other specified haemorrhage in early pregnancy- unspecified as to episode of care,OngoingPregnancy1,Ongoing Pregnancy,SNOMEDCT_US,111435005,C0156609,Other specified hemorrhage in early pregnancy- unspecified as to episode of care or not applicable,narrow,P,PrA
111435005,otros tipos de hemorragias especificadas en el embarazo temprano- no consideradas como un episodio importante - RETIRADO -,BLEEDING,Pregnancy Bleeding,SCTSPA,111435005,C0156609,Other specified hemorrhage in early pregnancy- unspecified as to episode of care or not applicable,narrow,P,PrA
111435005,otros tipos de hemorragias especificadas en el embarazo temprano- no consideradas como un episodio importante - RETIRADO -,OngoingPregnancy1,Ongoing Pregnancy,SCTSPA,111435005,C0156609,Other specified hemorrhage in early pregnancy- unspecified as to episode of care or not applicable,narrow,P,PrA
111437002,Other specified haemorrhage in early pregnancy- antepartum condition or complication,BLEEDING,Pregnancy Bleeding,SNOMEDCT_US,111437002,C0269607,Other specified hemorrhage in early pregnancy- antepartum condition or complication,narrow,P,PrA
111437002,Other specified haemorrhage in early pregnancy- antepartum condition or complication,OngoingPregnancy1,Ongoing Pregnancy,SNOMEDCT_US,111437002,C0269607,Other specified hemorrhage in early pregnancy- antepartum condition or complication,narrow,P,PrA
111437002,otros tipos de hemorragias especificadas en el embarazo temprano- con una condición o complicación preparto - RETIRADO -,BLEEDING,Pregnancy Bleeding,SCTSPA,111437002,C0269607,Other specified hemorrhage in early pregnancy- antepartum condition or complication,narrow,P,PrA
111437002,otros tipos de hemorragias especificadas en el embarazo temprano- con una condición o complicación preparto - RETIRADO -,OngoingPregnancy1,Ongoing Pregnancy,SCTSPA,111437002,C0269607,Other specified hemorrhage in early pregnancy- antepartum condition or complication,narrow,P,PrA
111449001,Primary dysfunctional labor,BirthPossible2,Birth classified as possible,SNOMEDCT_US,111449001,C0152159,Hypotonic uterine inertia,narrow,P,PrA
111449001,disfunción uterina hipotónica primaria,BirthPossible2,Birth classified as possible,SCTSPA,111449001,C0152159,Hypotonic uterine inertia,narrow,P,PrA
111453004,Retained placenta- without hemorrhage,BirthNarrow,Birth classified as narrow,SNOMEDCT_US,111453004,C0269905,Retained placenta- without hemorrhage,narrow,P,PrA
111453004,Retained placenta- without hemorrhage,SpontaneousAbortion,Spontaneous abortion,SCTSPA,111453004,"","",possible,P,PrA
111453004,Retained placenta- without hemorrhage,SpontaneousAbortion,Spontaneous abortion,SNOMEDCT_US,111453004,"","",possible,P,PrA
111453004,placenta retenida- sin hemorragia,BirthNarrow,Birth classified as narrow,SCTSPA,111453004,C0269905,Retained placenta- without hemorrhage,narrow,P,PrA
111453004,placenta retenida- sin hemorragia (trastorno),BirthNarrow,Birth classified as narrow,SCTSPA,111453004,"","",narrow,P,PrA
111454005,Retained portions of placenta AND-OR membranes without hemorrhage,BirthNarrow,Birth classified as narrow,SNOMEDCT_US,111454005,C0157408,Retained portions of placenta AND-OR membranes without hemorrhage,narrow,P,PrA
111454005,porciones retenidas de placenta Y-O membranas sin hemorragia,BirthNarrow,Birth classified as narrow,SCTSPA,111454005,C0157408,Retained portions of placenta AND-OR membranes without hemorrhage,narrow,P,PrA
111464001,Fetal and neonatal conditions,BirthPossible1,Birth classified as possible,SNOMEDCT_US,111464001,C1533165,Disorder of fetus or newborn,narrow,P,PrA
111464001,Fetal and neonatal conditions,BirthPossible3,Birth classified as possible,SNOMEDCT_US,111464001,C1533165,Disorder of fetus or newborn,narrow,P,PrA
111464001,enfermedad fetal o neonatal- que aparece en el período perinatal,BirthPossible1,Birth classified as possible,SCTSPA,111464001,C1533165,Disorder of fetus or newborn,narrow,P,PrA
111464001,enfermedad fetal o neonatal- que aparece en el período perinatal,BirthPossible3,Birth classified as possible,SCTSPA,111464001,C1533165,Disorder of fetus or newborn,narrow,P,PrA
112070001,inicio de trabajo de parto inducido (hallazgo),BirthNarrow,Birth classified as narrow,SCTSPA,112070001,"","",narrow,P,PrA
112927003,rotación manual de la cabeza fetal (procedimiento),BirthNarrow,Birth classified as narrow,SCTSPA,112927003,"","",narrow,P,PrA
1144807000,várices venosas de ambas extremidades inferiores en el embarazo (trastorno),OngoingPregnancy7,Ongoing Pregnancy,SCTSPA,1144807000,C0157498,Varicose veins of legs in pregnancy,narrow,P,PrA
11466000,Cesarean section,BirthNarrow,Birth classified as narrow,SNOMEDCT_US,11466000,C0007876,Cesarean section,narrow,P,PrA
11466000,operación cesárea (procedimiento),BirthNarrow,Birth classified as narrow,SCTSPA,11466000,"","",narrow,P,PrA
1148484005,Retained uterine membrane,SpontaneousAbortion,Spontaneous abortion,SCTSPA,1148484005,"","",possible,P,PrA
1148484005,Retained uterine membrane,SpontaneousAbortion,Spontaneous abortion,SNOMEDCT_US,1148484005,"","",possible,P,PrA
1148619000,Retained uterine membrane without hemorrhage,SpontaneousAbortion,Spontaneous abortion,SCTSPA,1148619000,"","",possible,P,PrA
1148619000,Retained uterine membrane without hemorrhage,SpontaneousAbortion,Spontaneous abortion,SNOMEDCT_US,1148619000,"","",possible,P,PrA
1148755000,Retained products of conception with no hemorrhage,SpontaneousAbortion,Spontaneous abortion,SCTSPA,1148755000,"","",possible,P,PrA
1148755000,Retained products of conception with no hemorrhage,SpontaneousAbortion,Spontaneous abortion,SNOMEDCT_US,1148755000,"","",possible,P,PrA
1148848009,embarazo múltiple posterior a fertilización asistida (trastorno),OngoingPregnancy1,Ongoing Pregnancy,SCTSPA,1148848009,"","",narrow,P,PrA
1148941002,Retention of part of placenta and uterine membrane without hemorrhage,SpontaneousAbortion,Spontaneous abortion,SCTSPA,1148941002,"","",possible,P,PrA
1148941002,Retention of part of placenta and uterine membrane without hemorrhage,SpontaneousAbortion,Spontaneous abortion,SNOMEDCT_US,1148941002,"","",possible,P,PrA
