event_definition,coding_system,code,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_original
Birth classified as narrow,ICD10,P25.3,Pneumopericardium originating in the perinatal period,C0270158,Perinatal pneumopericardium,exclude,P,BirthNarrow,PrA,P25.3
Birth classified as narrow,ICD10,P25.1,Pneumothorax originating in the perinatal period,C0270159,Perinatal pneumothorax,exclude,P,BirthNarrow,PrA,P25.1
Birth classified as narrow,ICD10,P28.0,Primary atelectasis of newborn,C0270163,Primary atelectasis- in perinatal period,exclude,P,BirthNarrow,PrA,P28.0
Birth classified as narrow,ICD10,P13,Birth injury to skeleton,C0411062,Birth injury to skeleton- unspecified,exclude,P,BirthNarrow,PrA,P13
Birth classified as narrow,ICD10,P13.9,Birth injury to skeleton- unspecified,C0411062,Birth injury to skeleton- unspecified,exclude,P,BirthNarrow,PrA,P13.9
Birth classified as narrow,ICD10,P11.5,Birth injury to spine and spinal cord,C0411063,Birth injury to spine and spinal cord,exclude,P,BirthNarrow,PrA,P11.5
Birth classified as narrow,ICD10,P27,Chronic respiratory disease originating in the perinatal period,C0456017,Chronic respiratory disease in perinatal period,exclude,P,BirthNarrow,PrA,P27
Birth classified as narrow,ICD10,P27.9,Unspecified chronic respiratory disease originating in the perinatal period,C0456017,Chronic respiratory disease in perinatal period,exclude,P,BirthNarrow,PrA,P27.9
Birth classified as narrow,ICD10,P91.0,Neonatal cerebral ischaemia,C0475601,Neonatal cerebral ischemia,exclude,P,BirthNarrow,PrA,P91.0
Birth classified as narrow,ICD10,P26,Pulmonary haemorrhage originating in the perinatal period,C0475713,Perinatal pulmonary hemorrhage,exclude,P,BirthNarrow,PrA,P26
Birth classified as narrow,ICD10,P26.9,Unspecified pulmonary haemorrhage originating in the perinatal period,C0475713,Perinatal pulmonary hemorrhage,exclude,P,BirthNarrow,PrA,P26.9
Birth classified as narrow,ICD10,P15.8,Other specified birth injuries,C0477903,Other specified birth injuries,exclude,P,BirthNarrow,PrA,P15.8
Birth classified as narrow,ICD10,P15,Other birth injuries,C0495381,Other birth injuries,exclude,P,BirthNarrow,PrA,P15
Birth classified as narrow,ICD10,P15.9,Birth injury- unspecified,C0005604,Birth Injuries,exclude,P,BirthNarrow,PrA,P15.9
Birth classified as narrow,ICD10CM,O70.1,Second degree perineal laceration during delivery,C0269870,Second degree perineal laceration,"",P,BirthNarrow,PrA,O70.1
Birth classified as narrow,ICD10CM,O70.2,Third degree perineal laceration during delivery,C0269874,Third degree perineal laceration,"",P,BirthNarrow,PrA,O70.2
Birth classified as narrow,ICD10CM,P39,Other infections specific to the perinatal period,C0158950,Other infections specific to the perinatal period,exclude,P,BirthNarrow,PrA,P39
Birth classified as narrow,ICD10CM,P59,Neonatal jaundice from other and unspecified causes,C0158977,Perinatal jaundice from other causes,exclude,P,BirthNarrow,PrA,P59
Birth classified as narrow,ICD10CM,P78.0,Perinatal intestinal perforation,C0159006,Perinatal intestinal perforation,exclude,P,BirthNarrow,PrA,P78.0
Birth classified as narrow,ICD10CM,P78.8,Other specified perinatal digestive system disorders,C0159007,Other specified perinatal digestive system disorders,exclude,P,BirthNarrow,PrA,P78.8
Birth classified as narrow,ICD10CM,P78.89,Other specified perinatal digestive system disorders,C0159007,Other specified perinatal digestive system disorders,exclude,P,BirthNarrow,PrA,P78.89
Birth classified as narrow,ICD10CM,P96.8,Oth conditions originating in the perinatal period,C0159027,Other specified conditions originating in the perinatal period,exclude,P,BirthNarrow,PrA,P96.8
Birth classified as narrow,ICD10CM,P96.89,Other specified conditions originating in the perinatal period,C0159027,Other specified conditions originating in the perinatal period,exclude,P,BirthNarrow,PrA,P96.89
Birth classified as narrow,ICD10CM,P28.81,Respiratory arrest of newborn,C0235065,Neonatal respiratory arrest,exclude,P,BirthNarrow,PrA,P28.81
Birth classified as narrow,ICD10CM,O75.9,Complication of labor and delivery- unspecified,C0269815,Complication of labor and delivery- unspecified,"",P,BirthNarrow,PrA,O75.9
Birth classified as narrow,ICD10CM,O90.1,Secondary perineal tear,C0269967,Secondary perineal tear in the puerperium,"",P,BirthNarrow,PrA,O90.1
Birth classified as narrow,ICD10CM,P96.9,Condition originating in the perinatal period- unspecified,C0270075,Perinatal disorder,exclude,P,BirthNarrow,PrA,P96.9
Birth classified as narrow,ICD10CM,P12,Birth injury to scalp,C0270089,Birth injury to scalp,exclude,P,BirthNarrow,PrA,P12
Birth classified as narrow,ICD10CM,P12.9,Birth injury to scalp- unspecified,C0270089,Birth injury to scalp,exclude,P,BirthNarrow,PrA,P12.9
Birth classified as narrow,ICD10CM,P13.4,Fracture of clavicle due to birth injury,C0270094,Fracture of clavicle due to birth trauma,exclude,P,BirthNarrow,PrA,P13.4
Birth classified as narrow,ICD10CM,P14,Birth injury to peripheral nervous system,C0270102,Peripheral nerve injury due to birth trauma,exclude,P,BirthNarrow,PrA,P14
Birth classified as narrow,ICD10CM,P14.9,Birth injury to peripheral nervous system- unspecified,C0270102,Peripheral nerve injury due to birth trauma,exclude,P,BirthNarrow,PrA,P14.9
Birth classified as narrow,ICD10CM,P11.3,Birth injury to facial nerve,C0270103,Facial nerve injury as birth trauma,exclude,P,BirthNarrow,PrA,P11.3
Birth classified as narrow,ICD10CM,P14.2,Phrenic nerve paralysis due to birth injury,C0270109,Phrenic nerve paralysis as birth trauma,exclude,P,BirthNarrow,PrA,P14.2
Birth classified as narrow,ICD10CM,P25.2,Pneumomediastinum originating in the perinatal period,C0270157,Perinatal pneumomediastinum,exclude,P,BirthNarrow,PrA,P25.2
Birth classified as narrow,ICD10CM,P25.3,Pneumopericardium originating in the perinatal period,C0270158,Perinatal pneumopericardium,exclude,P,BirthNarrow,PrA,P25.3
Birth classified as narrow,ICD10CM,P25.1,Pneumothorax originating in the perinatal period,C0270159,Perinatal pneumothorax,exclude,P,BirthNarrow,PrA,P25.1
Birth classified as narrow,ICD10CM,P28.0,Primary atelectasis of newborn,C0270163,Primary atelectasis- in perinatal period,exclude,P,BirthNarrow,PrA,P28.0
Birth classified as narrow,ICD10CM,P13,Birth injury to skeleton,C0411062,Birth injury to skeleton- unspecified,exclude,P,BirthNarrow,PrA,P13
Birth classified as narrow,ICD10CM,P13.9,Birth injury to skeleton- unspecified,C0411062,Birth injury to skeleton- unspecified,exclude,P,BirthNarrow,PrA,P13.9
Birth classified as narrow,ICD10CM,P11.5,Birth injury to spine and spinal cord,C0411063,Birth injury to spine and spinal cord,exclude,P,BirthNarrow,PrA,P11.5
Birth classified as narrow,ICD10CM,P27,Chronic respiratory disease originating in the perinatal period,C0456017,Chronic respiratory disease in perinatal period,exclude,P,BirthNarrow,PrA,P27
Birth classified as narrow,ICD10CM,P27.9,Unspecified chronic respiratory disease originating in the perinatal period,C0456017,Chronic respiratory disease in perinatal period,exclude,P,BirthNarrow,PrA,P27.9
Birth classified as narrow,ICD10CM,P91.0,Neonatal cerebral ischemia,C0475601,Neonatal cerebral ischemia,exclude,P,BirthNarrow,PrA,P91.0
Birth classified as narrow,ICD10CM,P26,Pulmonary hemorrhage originating in the perinatal period,C0475713,Perinatal pulmonary hemorrhage,exclude,P,BirthNarrow,PrA,P26
Birth classified as narrow,ICD10CM,P26.9,Unspecified pulmonary hemorrhage originating in the perinatal period,C0475713,Perinatal pulmonary hemorrhage,exclude,P,BirthNarrow,PrA,P26.9
Birth classified as narrow,ICD10CM,P15.8,Other specified birth injuries,C0477903,Other specified birth injuries,exclude,P,BirthNarrow,PrA,P15.8
Birth classified as narrow,ICD10CM,P15,Other birth injuries,C0495381,Other birth injuries,exclude,P,BirthNarrow,PrA,P15
Birth classified as narrow,ICD10CM,P84,Hypoxia of newborn NOS,C0520599,Hypoxia- in liveborn infant,exclude,P,BirthNarrow,PrA,P84
Birth classified as narrow,ICD10CM,P15.9,Birth injury- unspecified,C0005604,Birth Injuries,exclude,P,BirthNarrow,PrA,P15.9
Birth classified as narrow,ICD9CM,664.20,Third-degree perineal laceration- unspecified as to episode of care or not applicable,C0157321,Third-degree perineal laceration- unspecified as to episode of care or not applicable,"",P,BirthNarrow,PrA,664.20
Birth classified as narrow,ICD9CM,664.1,Second-degree perineal laceration during delivery,C0269870,Second degree perineal laceration,"",P,BirthNarrow,PrA,664.1
Birth classified as narrow,ICD9CM,664.11,Second-degree perineal laceration- delivered- with or without mention of antepartum condition,C0269870,Second degree perineal laceration,"",P,BirthNarrow,PrA,664.11
Birth classified as narrow,ICD9CM,664.10,Second-degree perineal laceration- unspecified as to episode of care or not applicable,C0157317,Second-degree perineal laceration- unspecified as to episode of care or not applicable,"",P,BirthNarrow,PrA,664.10
Birth classified as narrow,ICD9CM,664.2,Third-degree perineal laceration during delivery,C0269874,Third degree perineal laceration,"",P,BirthNarrow,PrA,664.2
Birth classified as narrow,ICD9CM,664.21,Third-degree perineal laceration- delivered- with or without mention of antepartum condition,C0269874,Third degree perineal laceration,"",P,BirthNarrow,PrA,664.21
Birth classified as narrow,ICD9CM,674.51,Peripartum cardiomyopathy- delivered- with or without mention of antepartum condition,C1260428,Peripartum cardiomyopathy- delivered- with or without mention of antepartum condition,"",P,BirthNarrow,PrA,674.51
Birth classified as narrow,ICD9CM,674.52,Peripartum cardiomyopathy- delivered- with mention of postpartum condition,C1260429,Peripartum cardiomyopathy- delivered- with mention of postpartum condition,"",P,BirthNarrow,PrA,674.52
Birth classified as narrow,ICD9CM,674.53,Peripartum cardiomyopathy- antepartum condition or complication,C1260430,Peripartum cardiomyopathy- antepartum condition or complication,"",P,BirthNarrow,PrA,674.53
Birth classified as narrow,ICD9CM,674.54,Peripartum cardiomyopathy- postpartum condition or complication,C1260431,Peripartum cardiomyopathy- postpartum condition or complication,"",P,BirthNarrow,PrA,674.54
Birth classified as narrow,ICD9CM,679.02,Maternal complications from in utero procedure- delivered- with mention of postpartum complication,C2349604,Maternal complications from in utero procedure- delivered- with mention of postpartum complication,"",P,BirthNarrow,PrA,679.02
Birth classified as narrow,ICD9CM,679.04,Maternal complications from in utero procedure- postpartum condition or complication,C2349606,Maternal complications from in utero procedure- postpartum condition or complication,"",P,BirthNarrow,PrA,679.04
Birth classified as narrow,ICD9CM,679.12,Fetal complications from in utero procedure- delivered- with mention of postpartum complication,C2349610,Fetal complications from in utero procedure- delivered- with mention of postpartum complication,exclude,P,BirthNarrow,PrA,679.12
Birth classified as narrow,ICD9CM,768.5,Severe birth asphyxia,C0158931,Severe birth asphyxia- APGAR 0-3,exclude,P,BirthNarrow,PrA,768.5
Birth classified as narrow,ICD9CM,771.8,Other infection specific to the perinatal period,C0158950,Other infections specific to the perinatal period,exclude,P,BirthNarrow,PrA,771.8
Birth classified as narrow,ICD9CM,771.89,Other infections specific to the perinatal period,C0158950,Other infections specific to the perinatal period,exclude,P,BirthNarrow,PrA,771.89
Birth classified as narrow,ICD9CM,774,Other perinatal jaundice,C0158968,Other perinatal jaundice,exclude,P,BirthNarrow,PrA,774
Birth classified as narrow,ICD9CM,774.4,Perinatal jaundice due to hepatocellular damage,C0158976,Perinatal jaundice due to hepatocellular damage,exclude,P,BirthNarrow,PrA,774.4
Birth classified as narrow,ICD9CM,774.5,Perinatal jaundice from other causes,C0158977,Perinatal jaundice from other causes,exclude,P,BirthNarrow,PrA,774.5
Birth classified as narrow,ICD9CM,777.6,Perinatal intestinal perforation,C0159006,Perinatal intestinal perforation,exclude,P,BirthNarrow,PrA,777.6
Birth classified as narrow,ICD9CM,777.8,Other specified perinatal disorders of digestive system,C0159007,Other specified perinatal digestive system disorders,exclude,P,BirthNarrow,PrA,777.8
Birth classified as narrow,ICD9CM,779,Other and ill-defined conditions originating in the perinatal period,C0159019,Other and ill-defined conditions originating in the perinatal period,exclude,P,BirthNarrow,PrA,779
Birth classified as narrow,ICD9CM,779.2,Cerebral depression- coma- and other abnormal cerebral signs in fetus or newborn,C0159022,Cerebral depression- coma- and other abnormal cerebral signs in fetus or newborn,exclude,P,BirthNarrow,PrA,779.2
Birth classified as narrow,ICD9CM,779.8,Other specified conditions originating in the perinatal period,C0159027,Other specified conditions originating in the perinatal period,exclude,P,BirthNarrow,PrA,779.8
Birth classified as narrow,ICD9CM,779.89,Other specified conditions originating in the perinatal period,C0159027,Other specified conditions originating in the perinatal period,exclude,P,BirthNarrow,PrA,779.89
Birth classified as narrow,ICD9CM,770.87,Respiratory arrest of newborn,C0235065,Neonatal respiratory arrest,exclude,P,BirthNarrow,PrA,770.87
Birth classified as narrow,ICD9CM,V27.9,Outcome of delivery- unspecified outcome of delivery,C0260590,Mother with unspecified outcome of delivery,"",P,BirthNarrow,PrA,V27.9
Birth classified as narrow,ICD9CM,669.9,Unspecified complication of labor and delivery,C0269815,Complication of labor and delivery- unspecified,"",P,BirthNarrow,PrA,669.9
Birth classified as narrow,ICD9CM,671,Venous complications in pregnancy and the puerperium,C0269945,Venous complication in pregnancy AND-OR the puerperium,"",P,BirthNarrow,PrA,671
Birth classified as narrow,ICD9CM,671.9,Unspecified venous complication in pregnancy and the puerperium,C0269945,Venous complication in pregnancy AND-OR the puerperium,"",P,BirthNarrow,PrA,671.9
Birth classified as narrow,ICD9CM,671.90,Unspecified venous complication of pregnancy and the puerperium- unspecified as to episode of care or not applicable,C0269945,Venous complication in pregnancy AND-OR the puerperium,"",P,BirthNarrow,PrA,671.90
Birth classified as narrow,ICD9CM,779.9,Unspecified condition originating in the perinatal period,C0270075,Perinatal disorder,exclude,P,BirthNarrow,PrA,779.9
Birth classified as narrow,ICD9CM,765.0,Extreme immaturity,C0270078,Extreme immaturity,exclude,P,BirthNarrow,PrA,765.0
Birth classified as narrow,ICD9CM,767.1,Injuries to scalp due to birth trauma,C0270089,Birth injury to scalp,exclude,P,BirthNarrow,PrA,767.1
Birth classified as narrow,ICD9CM,767.2,Fracture of clavicle due to birth trauma,C0270094,Fracture of clavicle due to birth trauma,exclude,P,BirthNarrow,PrA,767.2
Birth classified as narrow,ICD9CM,767.5,Facial nerve injury due to birth trauma,C0270103,Facial nerve injury as birth trauma,exclude,P,BirthNarrow,PrA,767.5
Birth classified as narrow,ICD9CM,767.6,Injury to brachial plexus due to birth trauma,C0270105,Injury to brachial plexus as birth trauma,exclude,P,BirthNarrow,PrA,767.6
Birth classified as narrow,ICD9CM,770.4,Primary atelectasis,C0270163,Primary atelectasis- in perinatal period,exclude,P,BirthNarrow,PrA,770.4
Birth classified as narrow,ICD9CM,772.1,Intraventricular hemorrhage of fetus or newborn,C0270191,Perinatal intraventricular hemorrhage,exclude,P,BirthNarrow,PrA,772.1
Birth classified as narrow,ICD9CM,677,Late effect of complication of pregnancy- childbirth- and the puerperium,C0375480,Late effect of complication of pregnancy- childbirth- and the puerperium,"",P,BirthNarrow,PrA,677
Birth classified as narrow,ICD9CM,760.76,Diethylstilbestrol [DES] affecting fetus or newborn via placenta or breast milk,C0375539,Diethylstilbestrol [DES] affecting fetus or newborn via placenta or breast milk,exclude,P,BirthNarrow,PrA,760.76
Birth classified as narrow,ICD9CM,675.14,Abscess of breast associated with childbirth- postpartum condition or complication,C0405309,Obstetric breast abscess - delivered,"",P,BirthNarrow,PrA,675.14
Birth classified as narrow,ICD9CM,767.4,Injury to spine and spinal cord due to birth trauma,C0411063,Birth injury to spine and spinal cord,exclude,P,BirthNarrow,PrA,767.4
Birth classified as narrow,ICD9CM,760.2,Maternal infections affecting fetus or newborn,C0411178,Fetal or neonatal effect of maternal infection,exclude,P,BirthNarrow,PrA,760.2
Birth classified as narrow,ICD9CM,770.7,Chronic respiratory disease arising in the perinatal period,C0456017,Chronic respiratory disease in perinatal period,exclude,P,BirthNarrow,PrA,770.7
Birth classified as narrow,ICD9CM,770.3,Pulmonary hemorrhage,C0475713,Perinatal pulmonary hemorrhage,exclude,P,BirthNarrow,PrA,770.3
Birth classified as narrow,ICD9CM,767.8,Other specified birth trauma,C0477903,Other specified birth injuries,exclude,P,BirthNarrow,PrA,767.8
Birth classified as narrow,ICD9CM,767.3,Other injuries to skeleton due to birth trauma,C0700643,Other injuries to skeleton due to birth trauma,exclude,P,BirthNarrow,PrA,767.3
Birth classified as narrow,ICD9CM,765.21,Less than 24 completed weeks of gestation,C0730521,Gestation less than 24 weeks,exclude,P,BirthNarrow,PrA,765.21
Birth classified as narrow,ICD9CM,765.22,24 completed weeks of gestation,C0730522,Gestation period- 24 weeks,exclude,P,BirthNarrow,PrA,765.22
Birth classified as narrow,ICD9CM,767.0,Subdural and cerebral hemorrhage,C0836917,Subdural and cerebral hemorrhage due to birth trauma,exclude,P,BirthNarrow,PrA,767.0
Birth classified as narrow,ICD9CM,767,Birth trauma,C0005604,Birth Injuries,exclude,P,BirthNarrow,PrA,767
Birth classified as narrow,ICD9CM,767.9,Birth trauma- unspecified,C0005604,Birth Injuries,exclude,P,BirthNarrow,PrA,767.9
Birth classified as narrow,ICPC,A95,Perinatal mortality,C0701826,Perinatal death,exclude,P,BirthNarrow,PrA,A95
Birth classified as narrow,ICPC,A80,Accident-injury NOS,C0740686,TRAUMA-INJURY PROBLEM,"",P,BirthNarrow,PrA,A80
Birth classified as narrow,ICPC2P,A95001,Mortality-perinatal,C0701826,Perinatal death,exclude,P,BirthNarrow,PrA,A95001
Birth classified as narrow,MTHICD9,664.20,Third-degree perineal laceration- unspecified as to episode of care in pregnancy,C0157321,Third-degree perineal laceration- unspecified as to episode of care or not applicable,"",P,BirthNarrow,PrA,664.20
Birth classified as narrow,MTHICD9,664.11,Second-degree perineal laceration- with delivery,C0269870,Second degree perineal laceration,"",P,BirthNarrow,PrA,664.11
Birth classified as narrow,MTHICD9,664.10,Second-degree perineal laceration- unspecified as to episode of care in pregnancy,C0157317,Second-degree perineal laceration- unspecified as to episode of care or not applicable,"",P,BirthNarrow,PrA,664.10
Birth classified as narrow,MTHICD9,664.1,Second-degree perineal laceration- rupture- or tear following episiotomy involving perineal muscles,C0269872,second-degree perineal laceration during delivery involving perineal muscles,"",P,BirthNarrow,PrA,664.1
Birth classified as narrow,MTHICD9,664.21,Third-degree perineal laceration- with delivery,C0269874,Third degree perineal laceration,"",P,BirthNarrow,PrA,664.21
Birth classified as narrow,MTHICD9,674.51,Peripartum cardiomyopathy- with delivery- with or without mention of antepartum condition,C1260428,Peripartum cardiomyopathy- delivered- with or without mention of antepartum condition,"",P,BirthNarrow,PrA,674.51
Birth classified as narrow,MTHICD9,674.52,Peripartum cardiomyopathy- with delivery- with mention of postpartum complication,C1260429,Peripartum cardiomyopathy- delivered- with mention of postpartum condition,"",P,BirthNarrow,PrA,674.52
Birth classified as narrow,MTHICD9,674.53,Peripartum cardiomyopathy- antepartum,C1260430,Peripartum cardiomyopathy- antepartum condition or complication,"",P,BirthNarrow,PrA,674.53
Birth classified as narrow,MTHICD9,674.54,Peripartum cardiomyopathy- postpartum,C1260431,Peripartum cardiomyopathy- postpartum condition or complication,"",P,BirthNarrow,PrA,674.54
Birth classified as narrow,MTHICD9,768.3,Fetal metabolic acidemia first noted during labor and delivery- in liveborn infant,C1719626,Fetal metabolic acidemia first noted during labor and delivery- in liveborn infant,"",P,BirthNarrow,PrA,768.3
Birth classified as narrow,MTHICD9,V27.9,Mother with unspecified outcome of delivery,C0260590,Mother with unspecified outcome of delivery,"",P,BirthNarrow,PrA,V27.9
Birth classified as narrow,MTHICD9,671.90,Unspecified venous complication of pregnancy and the puerperium- unspecified as to episode of care,C0269945,Venous complication in pregnancy AND-OR the puerperium,"",P,BirthNarrow,PrA,671.90
Birth classified as narrow,MTHICD9,673.8,Obstetrical pulmonary fat embolism,C0269960,Obstetrical pulmonary fat embolism,"",P,BirthNarrow,PrA,673.8
Birth classified as narrow,MTHICD9,674.2,Secondary perineal tear,C0269967,Secondary perineal tear in the puerperium,"",P,BirthNarrow,PrA,674.2
Birth classified as narrow,MTHICD9,674.3,Hematoma of cesarean section or perineal wound,C0269968,Hematoma of cesarean section or perineal wound,"",P,BirthNarrow,PrA,674.3
Birth classified as narrow,MTHICD9,674.5,Postpartum cardiomyopathy,C0269972,Postpartum cardiomyopathy,"",P,BirthNarrow,PrA,674.5
Birth classified as narrow,MTHICD9,779.9,Congenital debility NOS,C0270077,Congenital debility of fetus,exclude,P,BirthNarrow,PrA,779.9
